year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c2_1	c2_2	c2_3
2015	F	15-19	1	1	2	2111	1181	0
2015	F	15-19	1	1	3	2111	1181	0
2015	F	15-19	1	1	5	2111	1181	0
2015	F	15-19	1	1	4	2111	1181	0
2015	F	15-19	1	1	1	11224	3999	349
2015	F	15-19	1	4	2	2111	1181	0
2015	F	15-19	1	4	3	2111	1181	0
2015	F	15-19	1	4	5	2111	1181	0
2015	F	15-19	1	4	4	2111	1181	0
2015	F	15-19	1	4	1	11224	3999	349
2015	F	15-19	1	2	2	2111	1181	0
2015	F	15-19	1	2	3	2111	1181	0
2015	F	15-19	1	2	5	2111	1181	0
2015	F	15-19	1	2	4	2111	1181	0
2015	F	15-19	1	2	1	11224	3999	349
2015	F	15-19	1	3	2	2111	1181	0
2015	F	15-19	1	3	3	2111	1181	0
2015	F	15-19	1	3	5	2111	1181	0
2015	F	15-19	1	3	4	2111	1181	0
2015	F	15-19	1	3	1	11224	3999	349
2015	F	15-19	4	1	2	2111	1181	0
2015	F	15-19	4	1	3	2111	1181	0
2015	F	15-19	4	1	5	2111	1181	0
2015	F	15-19	4	1	4	2111	1181	0
2015	F	15-19	4	1	1	11224	3999	349
2015	F	15-19	4	4	2	2111	1181	0
2015	F	15-19	4	4	3	2111	1181	0
2015	F	15-19	4	4	5	2111	1181	0
2015	F	15-19	4	4	4	2111	1181	0
2015	F	15-19	4	4	1	11224	3999	349
2015	F	15-19	4	2	2	2111	1181	0
2015	F	15-19	4	2	3	2111	1181	0
2015	F	15-19	4	2	5	2111	1181	0
2015	F	15-19	4	2	4	2111	1181	0
2015	F	15-19	4	2	1	11224	3999	349
2015	F	15-19	4	3	2	2111	1181	0
2015	F	15-19	4	3	3	2111	1181	0
2015	F	15-19	4	3	5	2111	1181	0
2015	F	15-19	4	3	4	2111	1181	0
2015	F	15-19	4	3	1	11224	3999	349
2015	F	15-19	3	1	2	2111	1181	0
2015	F	15-19	3	1	3	2111	1181	0
2015	F	15-19	3	1	5	2111	1181	0
2015	F	15-19	3	1	4	2111	1181	0
2015	F	15-19	3	1	1	11224	3999	349
2015	F	15-19	3	4	2	2111	1181	0
2015	F	15-19	3	4	3	2111	1181	0
2015	F	15-19	3	4	5	2111	1181	0
2015	F	15-19	3	4	4	2111	1181	0
2015	F	15-19	3	4	1	11224	3999	349
2015	F	15-19	3	2	2	2111	1181	0
2015	F	15-19	3	2	3	2111	1181	0
2015	F	15-19	3	2	5	2111	1181	0
2015	F	15-19	3	2	4	2111	1181	0
2015	F	15-19	3	2	1	11224	3999	349
2015	F	15-19	3	3	2	2111	1181	0
2015	F	15-19	3	3	3	2111	1181	0
2015	F	15-19	3	3	5	2111	1181	0
2015	F	15-19	3	3	4	2111	1181	0
2015	F	15-19	3	3	1	11224	3999	349
2015	F	15-19	2	1	2	2111	1181	0
2015	F	15-19	2	1	3	2111	1181	0
2015	F	15-19	2	1	5	2111	1181	0
2015	F	15-19	2	1	4	2111	1181	0
2015	F	15-19	2	1	1	11224	3999	349
2015	F	15-19	2	4	2	2111	1181	0
2015	F	15-19	2	4	3	2111	1181	0
2015	F	15-19	2	4	5	2111	1181	0
2015	F	15-19	2	4	4	2111	1181	0
2015	F	15-19	2	4	1	11224	3999	349
2015	F	15-19	2	2	2	2111	1181	0
2015	F	15-19	2	2	3	2111	1181	0
2015	F	15-19	2	2	5	2111	1181	0
2015	F	15-19	2	2	4	2111	1181	0
2015	F	15-19	2	2	1	11224	3999	349
2015	F	15-19	2	3	2	2111	1181	0
2015	F	15-19	2	3	3	2111	1181	0
2015	F	15-19	2	3	5	2111	1181	0
2015	F	15-19	2	3	4	2111	1181	0
2015	F	15-19	2	3	1	11224	3999	349
2015	F	20-24	1	1	2	7269	6550	1576
2015	F	20-24	1	1	3	7269	6550	1576
2015	F	20-24	1	1	5	7269	6550	1576
2015	F	20-24	1	1	4	7269	6550	1576
2015	F	20-24	1	1	1	12237	13648	2992
2015	F	20-24	1	4	2	7269	6550	1576
2015	F	20-24	1	4	3	7269	6550	1576
2015	F	20-24	1	4	5	7269	6550	1576
2015	F	20-24	1	4	4	7269	6550	1576
2015	F	20-24	1	4	1	12237	13648	2992
2015	F	20-24	1	2	2	7269	6550	1576
2015	F	20-24	1	2	3	7269	6550	1576
2015	F	20-24	1	2	5	7269	6550	1576
2015	F	20-24	1	2	4	7269	6550	1576
2015	F	20-24	1	2	1	12237	13648	2992
2015	F	20-24	1	3	2	7269	6550	1576
2015	F	20-24	1	3	3	7269	6550	1576
2015	F	20-24	1	3	5	7269	6550	1576
2015	F	20-24	1	3	4	7269	6550	1576
2015	F	20-24	1	3	1	12237	13648	2992
2015	F	20-24	4	1	2	7269	6550	1576
2015	F	20-24	4	1	3	7269	6550	1576
