year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	41068	27610	4440
2015	F	15-19	1	1	3	41068	27610	4440
2015	F	15-19	1	1	5	41068	27610	4440
2015	F	15-19	1	1	4	41068	27610	4440
2015	F	15-19	1	1	1	125757	65656	8887
2015	F	15-19	1	4	2	41068	27610	4440
2015	F	15-19	1	4	3	41068	27610	4440
2015	F	15-19	1	4	5	41068	27610	4440
2015	F	15-19	1	4	4	41068	27610	4440
2015	F	15-19	1	4	1	125757	65656	8887
2015	F	15-19	1	2	2	41068	27610	4440
2015	F	15-19	1	2	3	41068	27610	4440
2015	F	15-19	1	2	5	41068	27610	4440
2015	F	15-19	1	2	4	41068	27610	4440
2015	F	15-19	1	2	1	125757	65656	8887
2015	F	15-19	1	3	2	41068	27610	4440
2015	F	15-19	1	3	3	41068	27610	4440
2015	F	15-19	1	3	5	41068	27610	4440
2015	F	15-19	1	3	4	41068	27610	4440
2015	F	15-19	1	3	1	125757	65656	8887
2015	F	15-19	4	1	2	41068	27610	4440
2015	F	15-19	4	1	3	41068	27610	4440
2015	F	15-19	4	1	5	41068	27610	4440
2015	F	15-19	4	1	4	41068	27610	4440
2015	F	15-19	4	1	1	125757	65656	8887
2015	F	15-19	4	4	2	41068	27610	4440
2015	F	15-19	4	4	3	41068	27610	4440
2015	F	15-19	4	4	5	41068	27610	4440
2015	F	15-19	4	4	4	41068	27610	4440
2015	F	15-19	4	4	1	125757	65656	8887
2015	F	15-19	4	2	2	41068	27610	4440
2015	F	15-19	4	2	3	41068	27610	4440
2015	F	15-19	4	2	5	41068	27610	4440
2015	F	15-19	4	2	4	41068	27610	4440
2015	F	15-19	4	2	1	125757	65656	8887
2015	F	15-19	4	3	2	41068	27610	4440
2015	F	15-19	4	3	3	41068	27610	4440
2015	F	15-19	4	3	5	41068	27610	4440
2015	F	15-19	4	3	4	41068	27610	4440
2015	F	15-19	4	3	1	125757	65656	8887
2015	F	15-19	3	1	2	41068	27610	4440
2015	F	15-19	3	1	3	41068	27610	4440
2015	F	15-19	3	1	5	41068	27610	4440
2015	F	15-19	3	1	4	41068	27610	4440
2015	F	15-19	3	1	1	125757	65656	8887
2015	F	15-19	3	4	2	41068	27610	4440
2015	F	15-19	3	4	3	41068	27610	4440
2015	F	15-19	3	4	5	41068	27610	4440
2015	F	15-19	3	4	4	41068	27610	4440
2015	F	15-19	3	4	1	125757	65656	8887
2015	F	15-19	3	2	2	41068	27610	4440
2015	F	15-19	3	2	3	41068	27610	4440
2015	F	15-19	3	2	5	41068	27610	4440
2015	F	15-19	3	2	4	41068	27610	4440
2015	F	15-19	3	2	1	125757	65656	8887
2015	F	15-19	3	3	2	41068	27610	4440
2015	F	15-19	3	3	3	41068	27610	4440
2015	F	15-19	3	3	5	41068	27610	4440
2015	F	15-19	3	3	4	41068	27610	4440
2015	F	15-19	3	3	1	125757	65656	8887
2015	F	15-19	2	1	2	41068	27610	4440
2015	F	15-19	2	1	3	41068	27610	4440
2015	F	15-19	2	1	5	41068	27610	4440
2015	F	15-19	2	1	4	41068	27610	4440
2015	F	15-19	2	1	1	125757	65656	8887
2015	F	15-19	2	4	2	41068	27610	4440
2015	F	15-19	2	4	3	41068	27610	4440
2015	F	15-19	2	4	5	41068	27610	4440
2015	F	15-19	2	4	4	41068	27610	4440
2015	F	15-19	2	4	1	125757	65656	8887
2015	F	15-19	2	2	2	41068	27610	4440
2015	F	15-19	2	2	3	41068	27610	4440
2015	F	15-19	2	2	5	41068	27610	4440
2015	F	15-19	2	2	4	41068	27610	4440
2015	F	15-19	2	2	1	125757	65656	8887
2015	F	15-19	2	3	2	41068	27610	4440
2015	F	15-19	2	3	3	41068	27610	4440
2015	F	15-19	2	3	5	41068	27610	4440
2015	F	15-19	2	3	4	41068	27610	4440
2015	F	15-19	2	3	1	125757	65656	8887
2015	F	20-24	1	1	2	34009	100212	25611
2015	F	20-24	1	1	3	34009	100212	25611
2015	F	20-24	1	1	5	34009	100212	25611
2015	F	20-24	1	1	4	34009	100212	25611
2015	F	20-24	1	1	1	47290	133814	35976
2015	F	20-24	1	4	2	34009	100212	25611
2015	F	20-24	1	4	3	34009	100212	25611
