country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
BE	2015	F	15	0	0	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	0	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	0	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	0	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	0	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	0	3	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	3	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	3	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	3	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	3	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	0	1	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	1	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	1	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	1	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	1	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	0	2	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	2	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	2	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	2	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	0	2	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	3	0	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	0	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	0	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	0	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	0	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	3	3	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	3	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	3	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	3	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	3	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	3	1	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	1	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	1	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	1	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	1	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	3	2	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	2	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	2	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	2	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	3	2	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	2	0	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	0	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	0	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	0	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	0	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	2	3	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	3	2	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	3	4	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	3	3	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	3	0	160946	92150	19605	9764	4505	809	15416	5241	598
BE	2015	F	15	2	1	1	5897	10860	0	354	687	0	412	827	0
BE	2015	F	15	2	1	2	5897	10860	0	354	687	0	412	827	0
