year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	67258	33788	440
2015	F	15-19	1	1	3	67258	33788	440
2015	F	15-19	1	1	5	67258	33788	440
2015	F	15-19	1	1	4	67258	33788	440
2015	F	15-19	1	1	1	127035	48483	4822
2015	F	15-19	1	4	2	67258	33788	440
2015	F	15-19	1	4	3	67258	33788	440
2015	F	15-19	1	4	5	67258	33788	440
2015	F	15-19	1	4	4	67258	33788	440
2015	F	15-19	1	4	1	127035	48483	4822
2015	F	15-19	1	2	2	67258	33788	440
2015	F	15-19	1	2	3	67258	33788	440
2015	F	15-19	1	2	5	67258	33788	440
2015	F	15-19	1	2	4	67258	33788	440
2015	F	15-19	1	2	1	127035	48483	4822
2015	F	15-19	1	3	2	67258	33788	440
2015	F	15-19	1	3	3	67258	33788	440
2015	F	15-19	1	3	5	67258	33788	440
2015	F	15-19	1	3	4	67258	33788	440
2015	F	15-19	1	3	1	127035	48483	4822
2015	F	15-19	4	1	2	67258	33788	440
2015	F	15-19	4	1	3	67258	33788	440
2015	F	15-19	4	1	5	67258	33788	440
2015	F	15-19	4	1	4	67258	33788	440
2015	F	15-19	4	1	1	127035	48483	4822
2015	F	15-19	4	4	2	67258	33788	440
2015	F	15-19	4	4	3	67258	33788	440
2015	F	15-19	4	4	5	67258	33788	440
2015	F	15-19	4	4	4	67258	33788	440
2015	F	15-19	4	4	1	127035	48483	4822
2015	F	15-19	4	2	2	67258	33788	440
2015	F	15-19	4	2	3	67258	33788	440
2015	F	15-19	4	2	5	67258	33788	440
2015	F	15-19	4	2	4	67258	33788	440
2015	F	15-19	4	2	1	127035	48483	4822
2015	F	15-19	4	3	2	67258	33788	440
2015	F	15-19	4	3	3	67258	33788	440
2015	F	15-19	4	3	5	67258	33788	440
2015	F	15-19	4	3	4	67258	33788	440
2015	F	15-19	4	3	1	127035	48483	4822
2015	F	15-19	3	1	2	67258	33788	440
2015	F	15-19	3	1	3	67258	33788	440
2015	F	15-19	3	1	5	67258	33788	440
2015	F	15-19	3	1	4	67258	33788	440
2015	F	15-19	3	1	1	127035	48483	4822
2015	F	15-19	3	4	2	67258	33788	440
2015	F	15-19	3	4	3	67258	33788	440
2015	F	15-19	3	4	5	67258	33788	440
2015	F	15-19	3	4	4	67258	33788	440
2015	F	15-19	3	4	1	127035	48483	4822
2015	F	15-19	3	2	2	67258	33788	440
2015	F	15-19	3	2	3	67258	33788	440
2015	F	15-19	3	2	5	67258	33788	440
2015	F	15-19	3	2	4	67258	33788	440
2015	F	15-19	3	2	1	127035	48483	4822
2015	F	15-19	3	3	2	67258	33788	440
2015	F	15-19	3	3	3	67258	33788	440
2015	F	15-19	3	3	5	67258	33788	440
2015	F	15-19	3	3	4	67258	33788	440
2015	F	15-19	3	3	1	127035	48483	4822
2015	F	15-19	2	1	2	67258	33788	440
2015	F	15-19	2	1	3	67258	33788	440
2015	F	15-19	2	1	5	67258	33788	440
2015	F	15-19	2	1	4	67258	33788	440
2015	F	15-19	2	1	1	127035	48483	4822
2015	F	15-19	2	4	2	67258	33788	440
2015	F	15-19	2	4	3	67258	33788	440
2015	F	15-19	2	4	5	67258	33788	440
2015	F	15-19	2	4	4	67258	33788	440
2015	F	15-19	2	4	1	127035	48483	4822
2015	F	15-19	2	2	2	67258	33788	440
2015	F	15-19	2	2	3	67258	33788	440
2015	F	15-19	2	2	5	67258	33788	440
2015	F	15-19	2	2	4	67258	33788	440
2015	F	15-19	2	2	1	127035	48483	4822
2015	F	15-19	2	3	2	67258	33788	440
2015	F	15-19	2	3	3	67258	33788	440
2015	F	15-19	2	3	5	67258	33788	440
2015	F	15-19	2	3	4	67258	33788	440
2015	F	15-19	2	3	1	127035	48483	4822
2015	F	20-24	1	1	2	35840	91234	24456
2015	F	20-24	1	1	3	35840	91234	24456
2015	F	20-24	1	1	5	35840	91234	24456
2015	F	20-24	1	1	4	35840	91234	24456
2015	F	20-24	1	1	1	45357	112667	29123
2015	F	20-24	1	4	2	35840	91234	24456
2015	F	20-24	1	4	3	35840	91234	24456
2015	F	20-24	1	4	5	35840	91234	24456
2015	F	20-24	1	4	4	35840	91234	24456
2015	F	20-24	1	4	1	45357	112667	29123
2015	F	20-24	1	2	2	35840	91234	24456
2015	F	20-24	1	2	3	35840	91234	24456
2015	F	20-24	1	2	5	35840	91234	24456
2015	F	20-24	1	2	4	35840	91234	24456
2015	F	20-24	1	2	1	45357	112667	29123
2015	F	20-24	1	3	2	35840	91234	24456
2015	F	20-24	1	3	3	35840	91234	24456
2015	F	20-24	1	3	5	35840	91234	24456
2015	F	20-24	1	3	4	35840	91234	24456
2015	F	20-24	1	3	1	45357	112667	29123
2015	F	20-24	4	1	2	35840	91234	24456
2015	F	20-24	4	1	3	35840	91234	24456
2015	F	20-24	4	1	5	35840	91234	24456
2015	F	20-24	4	1	4	35840	91234	24456
2015	F	20-24	4	1	1	45357	112667	29123
2015	F	20-24	4	4	2	35840	91234	24456
2015	F	20-24	4	4	3	35840	91234	24456
2015	F	20-24	4	4	5	35840	91234	24456
2015	F	20-24	4	4	4	35840	91234	24456
2015	F	20-24	4	4	1	45357	112667	29123
2015	F	20-24	4	2	2	35840	91234	24456
2015	F	20-24	4	2	3	35840	91234	24456
2015	F	20-24	4	2	5	35840	91234	24456
2015	F	20-24	4	2	4	35840	91234	24456
2015	F	20-24	4	2	1	45357	112667	29123
2015	F	20-24	4	3	2	35840	91234	24456
2015	F	20-24	4	3	3	35840	91234	24456
2015	F	20-24	4	3	5	35840	91234	24456
2015	F	20-24	4	3	4	35840	91234	24456
2015	F	20-24	4	3	1	45357	112667	29123
2015	F	20-24	3	1	2	35840	91234	24456
2015	F	20-24	3	1	3	35840	91234	24456
2015	F	20-24	3	1	5	35840	91234	24456
2015	F	20-24	3	1	4	35840	91234	24456
2015	F	20-24	3	1	1	45357	112667	29123
2015	F	20-24	3	4	2	35840	91234	24456
2015	F	20-24	3	4	3	35840	91234	24456
2015	F	20-24	3	4	5	35840	91234	24456
2015	F	20-24	3	4	4	35840	91234	24456
2015	F	20-24	3	4	1	45357	112667	29123
2015	F	20-24	3	2	2	35840	91234	24456
2015	F	20-24	3	2	3	35840	91234	24456
2015	F	20-24	3	2	5	35840	91234	24456
2015	F	20-24	3	2	4	35840	91234	24456
2015	F	20-24	3	2	1	45357	112667	29123
2015	F	20-24	3	3	2	35840	91234	24456
2015	F	20-24	3	3	3	35840	91234	24456
2015	F	20-24	3	3	5	35840	91234	24456
2015	F	20-24	3	3	4	35840	91234	24456
2015	F	20-24	3	3	1	45357	112667	29123
2015	F	20-24	2	1	2	35840	91234	24456
2015	F	20-24	2	1	3	35840	91234	24456
2015	F	20-24	2	1	5	35840	91234	24456
2015	F	20-24	2	1	4	35840	91234	24456
2015	F	20-24	2	1	1	45357	112667	29123
2015	F	20-24	2	4	2	35840	91234	24456
2015	F	20-24	2	4	3	35840	91234	24456
2015	F	20-24	2	4	5	35840	91234	24456
2015	F	20-24	2	4	4	35840	91234	24456
2015	F	20-24	2	4	1	45357	112667	29123
2015	F	20-24	2	2	2	35840	91234	24456
2015	F	20-24	2	2	3	35840	91234	24456
2015	F	20-24	2	2	5	35840	91234	24456
2015	F	20-24	2	2	4	35840	91234	24456
2015	F	20-24	2	2	1	45357	112667	29123
2015	F	20-24	2	3	2	35840	91234	24456
2015	F	20-24	2	3	3	35840	91234	24456
2015	F	20-24	2	3	5	35840	91234	24456
2015	F	20-24	2	3	4	35840	91234	24456
2015	F	20-24	2	3	1	45357	112667	29123
2015	F	25-29	1	1	2	8258	93789	59092
2015	F	25-29	1	1	3	8258	93789	59092
2015	F	25-29	1	1	5	8258	93789	59092
2015	F	25-29	1	1	4	8258	93789	59092
2015	F	25-29	1	1	1	9786	101523	63126
2015	F	25-29	1	4	2	8258	93789	59092
2015	F	25-29	1	4	3	8258	93789	59092
2015	F	25-29	1	4	5	8258	93789	59092
2015	F	25-29	1	4	4	8258	93789	59092
2015	F	25-29	1	4	1	9786	101523	63126
2015	F	25-29	1	2	2	8258	93789	59092
2015	F	25-29	1	2	3	8258	93789	59092
2015	F	25-29	1	2	5	8258	93789	59092
2015	F	25-29	1	2	4	8258	93789	59092
2015	F	25-29	1	2	1	9786	101523	63126
2015	F	25-29	1	3	2	8258	93789	59092
2015	F	25-29	1	3	3	8258	93789	59092
2015	F	25-29	1	3	5	8258	93789	59092
2015	F	25-29	1	3	4	8258	93789	59092
2015	F	25-29	1	3	1	9786	101523	63126
2015	F	25-29	4	1	2	8258	93789	59092
2015	F	25-29	4	1	3	8258	93789	59092
2015	F	25-29	4	1	5	8258	93789	59092
2015	F	25-29	4	1	4	8258	93789	59092
2015	F	25-29	4	1	1	9786	101523	63126
2015	F	25-29	4	4	2	8258	93789	59092
2015	F	25-29	4	4	3	8258	93789	59092
2015	F	25-29	4	4	5	8258	93789	59092
2015	F	25-29	4	4	4	8258	93789	59092
2015	F	25-29	4	4	1	9786	101523	63126
2015	F	25-29	4	2	2	8258	93789	59092
2015	F	25-29	4	2	3	8258	93789	59092
2015	F	25-29	4	2	5	8258	93789	59092
2015	F	25-29	4	2	4	8258	93789	59092
2015	F	25-29	4	2	1	9786	101523	63126
2015	F	25-29	4	3	2	8258	93789	59092
2015	F	25-29	4	3	3	8258	93789	59092
2015	F	25-29	4	3	5	8258	93789	59092
2015	F	25-29	4	3	4	8258	93789	59092
2015	F	25-29	4	3	1	9786	101523	63126
2015	F	25-29	3	1	2	8258	93789	59092
2015	F	25-29	3	1	3	8258	93789	59092
2015	F	25-29	3	1	5	8258	93789	59092
2015	F	25-29	3	1	4	8258	93789	59092
2015	F	25-29	3	1	1	9786	101523	63126
2015	F	25-29	3	4	2	8258	93789	59092
2015	F	25-29	3	4	3	8258	93789	59092
2015	F	25-29	3	4	5	8258	93789	59092
2015	F	25-29	3	4	4	8258	93789	59092
2015	F	25-29	3	4	1	9786	101523	63126
2015	F	25-29	3	2	2	8258	93789	59092
2015	F	25-29	3	2	3	8258	93789	59092
2015	F	25-29	3	2	5	8258	93789	59092
2015	F	25-29	3	2	4	8258	93789	59092
2015	F	25-29	3	2	1	9786	101523	63126
2015	F	25-29	3	3	2	8258	93789	59092
2015	F	25-29	3	3	3	8258	93789	59092
2015	F	25-29	3	3	5	8258	93789	59092
2015	F	25-29	3	3	4	8258	93789	59092
2015	F	25-29	3	3	1	9786	101523	63126
2015	F	25-29	2	1	2	8258	93789	59092
2015	F	25-29	2	1	3	8258	93789	59092
2015	F	25-29	2	1	5	8258	93789	59092
2015	F	25-29	2	1	4	8258	93789	59092
2015	F	25-29	2	1	1	9786	101523	63126
2015	F	25-29	2	4	2	8258	93789	59092
2015	F	25-29	2	4	3	8258	93789	59092
2015	F	25-29	2	4	5	8258	93789	59092
2015	F	25-29	2	4	4	8258	93789	59092
2015	F	25-29	2	4	1	9786	101523	63126
2015	F	25-29	2	2	2	8258	93789	59092
2015	F	25-29	2	2	3	8258	93789	59092
2015	F	25-29	2	2	5	8258	93789	59092
2015	F	25-29	2	2	4	8258	93789	59092
2015	F	25-29	2	2	1	9786	101523	63126
2015	F	25-29	2	3	2	8258	93789	59092
2015	F	25-29	2	3	3	8258	93789	59092
2015	F	25-29	2	3	5	8258	93789	59092
2015	F	25-29	2	3	4	8258	93789	59092
2015	F	25-29	2	3	1	9786	101523	63126
2015	F	30-34	1	1	2	4789	78121	62153
2015	F	30-34	1	1	3	4789	78121	62153
2015	F	30-34	1	1	5	4789	78121	62153
2015	F	30-34	1	1	4	4789	78121	62153
2015	F	30-34	1	1	1	6338	88300	67386
2015	F	30-34	1	4	2	4789	78121	62153
2015	F	30-34	1	4	3	4789	78121	62153
2015	F	30-34	1	4	5	4789	78121	62153
2015	F	30-34	1	4	4	4789	78121	62153
2015	F	30-34	1	4	1	6338	88300	67386
2015	F	30-34	1	2	2	4789	78121	62153
2015	F	30-34	1	2	3	4789	78121	62153
2015	F	30-34	1	2	5	4789	78121	62153
2015	F	30-34	1	2	4	4789	78121	62153
2015	F	30-34	1	2	1	6338	88300	67386
2015	F	30-34	1	3	2	4789	78121	62153
2015	F	30-34	1	3	3	4789	78121	62153
2015	F	30-34	1	3	5	4789	78121	62153
2015	F	30-34	1	3	4	4789	78121	62153
2015	F	30-34	1	3	1	6338	88300	67386
2015	F	30-34	4	1	2	4789	78121	62153
2015	F	30-34	4	1	3	4789	78121	62153
2015	F	30-34	4	1	5	4789	78121	62153
2015	F	30-34	4	1	4	4789	78121	62153
2015	F	30-34	4	1	1	6338	88300	67386
2015	F	30-34	4	4	2	4789	78121	62153
2015	F	30-34	4	4	3	4789	78121	62153
2015	F	30-34	4	4	5	4789	78121	62153
2015	F	30-34	4	4	4	4789	78121	62153
2015	F	30-34	4	4	1	6338	88300	67386
2015	F	30-34	4	2	2	4789	78121	62153
2015	F	30-34	4	2	3	4789	78121	62153
2015	F	30-34	4	2	5	4789	78121	62153
