year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	6577	12126	0
2015	F	15-19	1	1	3	6577	12126	0
2015	F	15-19	1	1	5	6577	12126	0
2015	F	15-19	1	1	4	6577	12126	0
2015	F	15-19	1	1	1	161750	56381	6760
2015	F	15-19	1	4	2	6577	12126	0
2015	F	15-19	1	4	3	6577	12126	0
2015	F	15-19	1	4	5	6577	12126	0
2015	F	15-19	1	4	4	6577	12126	0
2015	F	15-19	1	4	1	161750	56381	6760
2015	F	15-19	1	2	2	6577	12126	0
2015	F	15-19	1	2	3	6577	12126	0
2015	F	15-19	1	2	5	6577	12126	0
2015	F	15-19	1	2	4	6577	12126	0
2015	F	15-19	1	2	1	161750	56381	6760
2015	F	15-19	1	3	2	6577	12126	0
2015	F	15-19	1	3	3	6577	12126	0
2015	F	15-19	1	3	5	6577	12126	0
2015	F	15-19	1	3	4	6577	12126	0
2015	F	15-19	1	3	1	161750	56381	6760
2015	F	15-19	4	1	2	6577	12126	0
2015	F	15-19	4	1	3	6577	12126	0
2015	F	15-19	4	1	5	6577	12126	0
2015	F	15-19	4	1	4	6577	12126	0
2015	F	15-19	4	1	1	161750	56381	6760
2015	F	15-19	4	4	2	6577	12126	0
2015	F	15-19	4	4	3	6577	12126	0
2015	F	15-19	4	4	5	6577	12126	0
2015	F	15-19	4	4	4	6577	12126	0
2015	F	15-19	4	4	1	161750	56381	6760
2015	F	15-19	4	2	2	6577	12126	0
2015	F	15-19	4	2	3	6577	12126	0
2015	F	15-19	4	2	5	6577	12126	0
2015	F	15-19	4	2	4	6577	12126	0
2015	F	15-19	4	2	1	161750	56381	6760
2015	F	15-19	4	3	2	6577	12126	0
2015	F	15-19	4	3	3	6577	12126	0
2015	F	15-19	4	3	5	6577	12126	0
2015	F	15-19	4	3	4	6577	12126	0
2015	F	15-19	4	3	1	161750	56381	6760
2015	F	15-19	3	1	2	6577	12126	0
2015	F	15-19	3	1	3	6577	12126	0
2015	F	15-19	3	1	5	6577	12126	0
2015	F	15-19	3	1	4	6577	12126	0
2015	F	15-19	3	1	1	161750	56381	6760
2015	F	15-19	3	4	2	6577	12126	0
2015	F	15-19	3	4	3	6577	12126	0
2015	F	15-19	3	4	5	6577	12126	0
2015	F	15-19	3	4	4	6577	12126	0
2015	F	15-19	3	4	1	161750	56381	6760
2015	F	15-19	3	2	2	6577	12126	0
2015	F	15-19	3	2	3	6577	12126	0
2015	F	15-19	3	2	5	6577	12126	0
2015	F	15-19	3	2	4	6577	12126	0
2015	F	15-19	3	2	1	161750	56381	6760
2015	F	15-19	3	3	2	6577	12126	0
2015	F	15-19	3	3	3	6577	12126	0
2015	F	15-19	3	3	5	6577	12126	0
2015	F	15-19	3	3	4	6577	12126	0
2015	F	15-19	3	3	1	161750	56381	6760
2015	F	15-19	2	1	2	6577	12126	0
2015	F	15-19	2	1	3	6577	12126	0
2015	F	15-19	2	1	5	6577	12126	0
2015	F	15-19	2	1	4	6577	12126	0
2015	F	15-19	2	1	1	161750	56381	6760
2015	F	15-19	2	4	2	6577	12126	0
2015	F	15-19	2	4	3	6577	12126	0
2015	F	15-19	2	4	5	6577	12126	0
2015	F	15-19	2	4	4	6577	12126	0
2015	F	15-19	2	4	1	161750	56381	6760
2015	F	15-19	2	2	2	6577	12126	0
2015	F	15-19	2	2	3	6577	12126	0
2015	F	15-19	2	2	5	6577	12126	0
2015	F	15-19	2	2	4	6577	12126	0
2015	F	15-19	2	2	1	161750	56381	6760
2015	F	15-19	2	3	2	6577	12126	0
2015	F	15-19	2	3	3	6577	12126	0
2015	F	15-19	2	3	5	6577	12126	0
2015	F	15-19	2	3	4	6577	12126	0
2015	F	15-19	2	3	1	161750	56381	6760
2015	F	20-24	1	1	2	21030	75908	22623
2015	F	20-24	1	1	3	21030	75908	22623
2015	F	20-24	1	1	5	21030	75908	22623
2015	F	20-24	1	1	4	21030	75908	22623
2015	F	20-24	1	1	1	70750	169068	47608
2015	F	20-24	1	4	2	21030	75908	22623
2015	F	20-24	1	4	3	21030	75908	22623
2015	F	20-24	1	4	5	21030	75908	22623
2015	F	20-24	1	4	4	21030	75908	22623
2015	F	20-24	1	4	1	70750	169068	47608
2015	F	20-24	1	2	2	21030	75908	22623
2015	F	20-24	1	2	3	21030	75908	22623
2015	F	20-24	1	2	5	21030	75908	22623
2015	F	20-24	1	2	4	21030	75908	22623
2015	F	20-24	1	2	1	70750	169068	47608
2015	F	20-24	1	3	2	21030	75908	22623
2015	F	20-24	1	3	3	21030	75908	22623
2015	F	20-24	1	3	5	21030	75908	22623
2015	F	20-24	1	3	4	21030	75908	22623
2015	F	20-24	1	3	1	70750	169068	47608
2015	F	20-24	4	1	2	21030	75908	22623
2015	F	20-24	4	1	3	21030	75908	22623
2015	F	20-24	4	1	5	21030	75908	22623
2015	F	20-24	4	1	4	21030	75908	22623
2015	F	20-24	4	1	1	70750	169068	47608
2015	F	20-24	4	4	2	21030	75908	22623
2015	F	20-24	4	4	3	21030	75908	22623
2015	F	20-24	4	4	5	21030	75908	22623
2015	F	20-24	4	4	4	21030	75908	22623
2015	F	20-24	4	4	1	70750	169068	47608
2015	F	20-24	4	2	2	21030	75908	22623
2015	F	20-24	4	2	3	21030	75908	22623
2015	F	20-24	4	2	5	21030	75908	22623
2015	F	20-24	4	2	4	21030	75908	22623
2015	F	20-24	4	2	1	70750	169068	47608
