year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c2_1	c2_2	c2_3
2015	F	15-19	1	1	2	22389	9867	0
2015	F	15-19	1	1	3	22389	9867	0
2015	F	15-19	1	1	5	22389	9867	0
2015	F	15-19	1	1	4	22389	9867	0
2015	F	15-19	1	1	1	93626	20877	1383
2015	F	15-19	1	4	2	22389	9867	0
2015	F	15-19	1	4	3	22389	9867	0
2015	F	15-19	1	4	5	22389	9867	0
2015	F	15-19	1	4	4	22389	9867	0
2015	F	15-19	1	4	1	93626	20877	1383
2015	F	15-19	1	2	2	22389	9867	0
2015	F	15-19	1	2	3	22389	9867	0
2015	F	15-19	1	2	5	22389	9867	0
2015	F	15-19	1	2	4	22389	9867	0
2015	F	15-19	1	2	1	93626	20877	1383
2015	F	15-19	1	3	2	22389	9867	0
2015	F	15-19	1	3	3	22389	9867	0
2015	F	15-19	1	3	5	22389	9867	0
2015	F	15-19	1	3	4	22389	9867	0
2015	F	15-19	1	3	1	93626	20877	1383
2015	F	15-19	4	1	2	22389	9867	0
2015	F	15-19	4	1	3	22389	9867	0
2015	F	15-19	4	1	5	22389	9867	0
2015	F	15-19	4	1	4	22389	9867	0
2015	F	15-19	4	1	1	93626	20877	1383
2015	F	15-19	4	4	2	22389	9867	0
2015	F	15-19	4	4	3	22389	9867	0
2015	F	15-19	4	4	5	22389	9867	0
2015	F	15-19	4	4	4	22389	9867	0
2015	F	15-19	4	4	1	93626	20877	1383
2015	F	15-19	4	2	2	22389	9867	0
2015	F	15-19	4	2	3	22389	9867	0
2015	F	15-19	4	2	5	22389	9867	0
2015	F	15-19	4	2	4	22389	9867	0
2015	F	15-19	4	2	1	93626	20877	1383
2015	F	15-19	4	3	2	22389	9867	0
2015	F	15-19	4	3	3	22389	9867	0
2015	F	15-19	4	3	5	22389	9867	0
2015	F	15-19	4	3	4	22389	9867	0
2015	F	15-19	4	3	1	93626	20877	1383
2015	F	15-19	3	1	2	22389	9867	0
2015	F	15-19	3	1	3	22389	9867	0
2015	F	15-19	3	1	5	22389	9867	0
2015	F	15-19	3	1	4	22389	9867	0
2015	F	15-19	3	1	1	93626	20877	1383
2015	F	15-19	3	4	2	22389	9867	0
2015	F	15-19	3	4	3	22389	9867	0
2015	F	15-19	3	4	5	22389	9867	0
2015	F	15-19	3	4	4	22389	9867	0
2015	F	15-19	3	4	1	93626	20877	1383
2015	F	15-19	3	2	2	22389	9867	0
2015	F	15-19	3	2	3	22389	9867	0
2015	F	15-19	3	2	5	22389	9867	0
2015	F	15-19	3	2	4	22389	9867	0
2015	F	15-19	3	2	1	93626	20877	1383
2015	F	15-19	3	3	2	22389	9867	0
2015	F	15-19	3	3	3	22389	9867	0
2015	F	15-19	3	3	5	22389	9867	0
2015	F	15-19	3	3	4	22389	9867	0
2015	F	15-19	3	3	1	93626	20877	1383
2015	F	15-19	2	1	2	22389	9867	0
2015	F	15-19	2	1	3	22389	9867	0
2015	F	15-19	2	1	5	22389	9867	0
2015	F	15-19	2	1	4	22389	9867	0
2015	F	15-19	2	1	1	93626	20877	1383
2015	F	15-19	2	4	2	22389	9867	0
2015	F	15-19	2	4	3	22389	9867	0
2015	F	15-19	2	4	5	22389	9867	0
2015	F	15-19	2	4	4	22389	9867	0
2015	F	15-19	2	4	1	93626	20877	1383
2015	F	15-19	2	2	2	22389	9867	0
2015	F	15-19	2	2	3	22389	9867	0
2015	F	15-19	2	2	5	22389	9867	0
2015	F	15-19	2	2	4	22389	9867	0
2015	F	15-19	2	2	1	93626	20877	1383
2015	F	15-19	2	3	2	22389	9867	0
2015	F	15-19	2	3	3	22389	9867	0
2015	F	15-19	2	3	5	22389	9867	0
2015	F	15-19	2	3	4	22389	9867	0
2015	F	15-19	2	3	1	93626	20877	1383
2015	F	20-24	1	1	2	51529	63717	9128
2015	F	20-24	1	1	3	51529	63717	9128
2015	F	20-24	1	1	5	51529	63717	9128
2015	F	20-24	1	1	4	51529	63717	9128
2015	F	20-24	1	1	1	100679	106899	19262
2015	F	20-24	1	4	2	51529	63717	9128
2015	F	20-24	1	4	3	51529	63717	9128
2015	F	20-24	1	4	5	51529	63717	9128
2015	F	20-24	1	4	4	51529	63717	9128
2015	F	20-24	1	4	1	100679	106899	19262
2015	F	20-24	1	2	2	51529	63717	9128
2015	F	20-24	1	2	3	51529	63717	9128
2015	F	20-24	1	2	5	51529	63717	9128
2015	F	20-24	1	2	4	51529	63717	9128
2015	F	20-24	1	2	1	100679	106899	19262
2015	F	20-24	1	3	2	51529	63717	9128
2015	F	20-24	1	3	3	51529	63717	9128
2015	F	20-24	1	3	5	51529	63717	9128
2015	F	20-24	1	3	4	51529	63717	9128
2015	F	20-24	1	3	1	100679	106899	19262
2015	F	20-24	4	1	2	51529	63717	9128
2015	F	20-24	4	1	3	51529	63717	9128
2015	F	20-24	4	1	5	51529	63717	9128
2015	F	20-24	4	1	4	51529	63717	9128
2015	F	20-24	4	1	1	100679	106899	19262
2015	F	20-24	4	4	2	51529	63717	9128
2015	F	20-24	4	4	3	51529	63717	9128
2015	F	20-24	4	4	5	51529	63717	9128
2015	F	20-24	4	4	4	51529	63717	9128
2015	F	20-24	4	4	1	100679	106899	19262
2015	F	20-24	4	2	2	51529	63717	9128
2015	F	20-24	4	2	3	51529	63717	9128
2015	F	20-24	4	2	5	51529	63717	9128
2015	F	20-24	4	2	4	51529	63717	9128
2015	F	20-24	4	2	1	100679	106899	19262
2015	F	20-24	4	3	2	51529	63717	9128
2015	F	20-24	4	3	3	51529	63717	9128
2015	F	20-24	4	3	5	51529	63717	9128
2015	F	20-24	4	3	4	51529	63717	9128
2015	F	20-24	4	3	1	100679	106899	19262
2015	F	20-24	3	1	2	51529	63717	9128
2015	F	20-24	3	1	3	51529	63717	9128
2015	F	20-24	3	1	5	51529	63717	9128
2015	F	20-24	3	1	4	51529	63717	9128
2015	F	20-24	3	1	1	100679	106899	19262
2015	F	20-24	3	4	2	51529	63717	9128
2015	F	20-24	3	4	3	51529	63717	9128
2015	F	20-24	3	4	5	51529	63717	9128
2015	F	20-24	3	4	4	51529	63717	9128
2015	F	20-24	3	4	1	100679	106899	19262
2015	F	20-24	3	2	2	51529	63717	9128
2015	F	20-24	3	2	3	51529	63717	9128
2015	F	20-24	3	2	5	51529	63717	9128
2015	F	20-24	3	2	4	51529	63717	9128
2015	F	20-24	3	2	1	100679	106899	19262
2015	F	20-24	3	3	2	51529	63717	9128
2015	F	20-24	3	3	3	51529	63717	9128
2015	F	20-24	3	3	5	51529	63717	9128
2015	F	20-24	3	3	4	51529	63717	9128
2015	F	20-24	3	3	1	100679	106899	19262
2015	F	20-24	2	1	2	51529	63717	9128
2015	F	20-24	2	1	3	51529	63717	9128
2015	F	20-24	2	1	5	51529	63717	9128
2015	F	20-24	2	1	4	51529	63717	9128
2015	F	20-24	2	1	1	100679	106899	19262
2015	F	20-24	2	4	2	51529	63717	9128
2015	F	20-24	2	4	3	51529	63717	9128
2015	F	20-24	2	4	5	51529	63717	9128
2015	F	20-24	2	4	4	51529	63717	9128
2015	F	20-24	2	4	1	100679	106899	19262
2015	F	20-24	2	2	2	51529	63717	9128
2015	F	20-24	2	2	3	51529	63717	9128
2015	F	20-24	2	2	5	51529	63717	9128
2015	F	20-24	2	2	4	51529	63717	9128
2015	F	20-24	2	2	1	100679	106899	19262
2015	F	20-24	2	3	2	51529	63717	9128
2015	F	20-24	2	3	3	51529	63717	9128
2015	F	20-24	2	3	5	51529	63717	9128
2015	F	20-24	2	3	4	51529	63717	9128
2015	F	20-24	2	3	1	100679	106899	19262
2015	F	25-29	1	1	2	42012	112250	51336
2015	F	25-29	1	1	3	42012	112250	51336
2015	F	25-29	1	1	5	42012	112250	51336
2015	F	25-29	1	1	4	42012	112250	51336
2015	F	25-29	1	1	1	110572	166501	74856
2015	F	25-29	1	4	2	42012	112250	51336
2015	F	25-29	1	4	3	42012	112250	51336
2015	F	25-29	1	4	5	42012	112250	51336
2015	F	25-29	1	4	4	42012	112250	51336
2015	F	25-29	1	4	1	110572	166501	74856
2015	F	25-29	1	2	2	42012	112250	51336
2015	F	25-29	1	2	3	42012	112250	51336
2015	F	25-29	1	2	5	42012	112250	51336
2015	F	25-29	1	2	4	42012	112250	51336
2015	F	25-29	1	2	1	110572	166501	74856
2015	F	25-29	1	3	2	42012	112250	51336
2015	F	25-29	1	3	3	42012	112250	51336
2015	F	25-29	1	3	5	42012	112250	51336
2015	F	25-29	1	3	4	42012	112250	51336
2015	F	25-29	1	3	1	110572	166501	74856
2015	F	25-29	4	1	2	42012	112250	51336
2015	F	25-29	4	1	3	42012	112250	51336
2015	F	25-29	4	1	5	42012	112250	51336
2015	F	25-29	4	1	4	42012	112250	51336
2015	F	25-29	4	1	1	110572	166501	74856
2015	F	25-29	4	4	2	42012	112250	51336
2015	F	25-29	4	4	3	42012	112250	51336
2015	F	25-29	4	4	5	42012	112250	51336
2015	F	25-29	4	4	4	42012	112250	51336
2015	F	25-29	4	4	1	110572	166501	74856
2015	F	25-29	4	2	2	42012	112250	51336
2015	F	25-29	4	2	3	42012	112250	51336
2015	F	25-29	4	2	5	42012	112250	51336
2015	F	25-29	4	2	4	42012	112250	51336
2015	F	25-29	4	2	1	110572	166501	74856
2015	F	25-29	4	3	2	42012	112250	51336
2015	F	25-29	4	3	3	42012	112250	51336
