country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
DK	2015	F	15	0	0	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	0	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	0	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	0	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	0	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	0	3	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	3	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	3	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	3	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	3	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	0	1	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	1	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	1	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	1	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	1	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	0	2	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	2	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	2	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	2	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	0	2	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	3	0	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	0	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	0	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	0	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	0	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	3	3	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	3	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	3	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	3	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	3	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	3	1	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	1	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	1	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	1	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	1	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	3	2	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	2	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	2	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	2	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	3	2	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	2	0	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	0	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	0	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	0	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	0	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	2	3	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	3	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	3	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	3	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	3	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	2	1	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	1	2	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	1	4	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	1	3	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	1	0	123413	32366	3329	2827	1013	283	7394	1681	277
DK	2015	F	15	2	2	1	64859	25023	0	1407	365	0	3318	843	0
DK	2015	F	15	2	2	2	64859	25023	0	1407	365	0	3318	843	0
