year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c1_1	c1_2	c1_3
2015	F	15-19	1	1	2	1412	365	0
2015	F	15-19	1	1	3	1412	365	0
2015	F	15-19	1	1	5	1412	365	0
2015	F	15-19	1	1	4	1412	365	0
2015	F	15-19	1	1	1	2827	1013	283
2015	F	15-19	1	4	2	1412	365	0
2015	F	15-19	1	4	3	1412	365	0
2015	F	15-19	1	4	5	1412	365	0
2015	F	15-19	1	4	4	1412	365	0
2015	F	15-19	1	4	1	2827	1013	283
2015	F	15-19	1	2	2	1412	365	0
2015	F	15-19	1	2	3	1412	365	0
2015	F	15-19	1	2	5	1412	365	0
2015	F	15-19	1	2	4	1412	365	0
2015	F	15-19	1	2	1	2827	1013	283
2015	F	15-19	1	3	2	1412	365	0
2015	F	15-19	1	3	3	1412	365	0
2015	F	15-19	1	3	5	1412	365	0
2015	F	15-19	1	3	4	1412	365	0
2015	F	15-19	1	3	1	2827	1013	283
2015	F	15-19	4	1	2	1412	365	0
2015	F	15-19	4	1	3	1412	365	0
2015	F	15-19	4	1	5	1412	365	0
2015	F	15-19	4	1	4	1412	365	0
2015	F	15-19	4	1	1	2827	1013	283
2015	F	15-19	4	4	2	1412	365	0
2015	F	15-19	4	4	3	1412	365	0
2015	F	15-19	4	4	5	1412	365	0
2015	F	15-19	4	4	4	1412	365	0
2015	F	15-19	4	4	1	2827	1013	283
2015	F	15-19	4	2	2	1412	365	0
2015	F	15-19	4	2	3	1412	365	0
2015	F	15-19	4	2	5	1412	365	0
2015	F	15-19	4	2	4	1412	365	0
2015	F	15-19	4	2	1	2827	1013	283
2015	F	15-19	4	3	2	1412	365	0
2015	F	15-19	4	3	3	1412	365	0
2015	F	15-19	4	3	5	1412	365	0
2015	F	15-19	4	3	4	1412	365	0
2015	F	15-19	4	3	1	2827	1013	283
2015	F	15-19	3	1	2	1412	365	0
2015	F	15-19	3	1	3	1412	365	0
2015	F	15-19	3	1	5	1412	365	0
2015	F	15-19	3	1	4	1412	365	0
2015	F	15-19	3	1	1	2827	1013	283
2015	F	15-19	3	4	2	1412	365	0
2015	F	15-19	3	4	3	1412	365	0
2015	F	15-19	3	4	5	1412	365	0
2015	F	15-19	3	4	4	1412	365	0
2015	F	15-19	3	4	1	2827	1013	283
2015	F	15-19	3	2	2	1412	365	0
2015	F	15-19	3	2	3	1412	365	0
2015	F	15-19	3	2	5	1412	365	0
2015	F	15-19	3	2	4	1412	365	0
2015	F	15-19	3	2	1	2827	1013	283
2015	F	15-19	3	3	2	1412	365	0
2015	F	15-19	3	3	3	1412	365	0
2015	F	15-19	3	3	5	1412	365	0
2015	F	15-19	3	3	4	1412	365	0
2015	F	15-19	3	3	1	2827	1013	283
2015	F	15-19	2	1	2	1412	365	0
2015	F	15-19	2	1	3	1412	365	0
2015	F	15-19	2	1	5	1412	365	0
2015	F	15-19	2	1	4	1412	365	0
2015	F	15-19	2	1	1	2827	1013	283
2015	F	15-19	2	4	2	1412	365	0
2015	F	15-19	2	4	3	1412	365	0
2015	F	15-19	2	4	5	1412	365	0
2015	F	15-19	2	4	4	1412	365	0
2015	F	15-19	2	4	1	2827	1013	283
2015	F	15-19	2	2	2	1412	365	0
2015	F	15-19	2	2	3	1412	365	0
2015	F	15-19	2	2	5	1412	365	0
2015	F	15-19	2	2	4	1412	365	0
2015	F	15-19	2	2	1	2827	1013	283
2015	F	15-19	2	3	2	1412	365	0
2015	F	15-19	2	3	3	1412	365	0
2015	F	15-19	2	3	5	1412	365	0
2015	F	15-19	2	3	4	1412	365	0
2015	F	15-19	2	3	1	2827	1013	283
2015	F	20-24	1	1	2	888	4194	2602
2015	F	20-24	1	1	3	888	4194	2602
2015	F	20-24	1	1	5	888	4194	2602
2015	F	20-24	1	1	4	888	4194	2602
2015	F	20-24	1	1	1	2458	4940	3670
2015	F	20-24	1	4	2	888	4194	2602
2015	F	20-24	1	4	3	888	4194	2602
2015	F	20-24	1	4	5	888	4194	2602
2015	F	20-24	1	4	4	888	4194	2602
2015	F	20-24	1	4	1	2458	4940	3670
2015	F	20-24	1	2	2	888	4194	2602
2015	F	20-24	1	2	3	888	4194	2602
2015	F	20-24	1	2	5	888	4194	2602
2015	F	20-24	1	2	4	888	4194	2602
2015	F	20-24	1	2	1	2458	4940	3670
2015	F	20-24	1	3	2	888	4194	2602
2015	F	20-24	1	3	3	888	4194	2602
2015	F	20-24	1	3	5	888	4194	2602
2015	F	20-24	1	3	4	888	4194	2602
2015	F	20-24	1	3	1	2458	4940	3670
2015	F	20-24	4	1	2	888	4194	2602
2015	F	20-24	4	1	3	888	4194	2602
2015	F	20-24	4	1	5	888	4194	2602
2015	F	20-24	4	1	4	888	4194	2602
2015	F	20-24	4	1	1	2458	4940	3670
2015	F	20-24	4	4	2	888	4194	2602
2015	F	20-24	4	4	3	888	4194	2602
2015	F	20-24	4	4	5	888	4194	2602
2015	F	20-24	4	4	4	888	4194	2602
2015	F	20-24	4	4	1	2458	4940	3670
2015	F	20-24	4	2	2	888	4194	2602
2015	F	20-24	4	2	3	888	4194	2602
2015	F	20-24	4	2	5	888	4194	2602
2015	F	20-24	4	2	4	888	4194	2602
2015	F	20-24	4	2	1	2458	4940	3670
2015	F	20-24	4	3	2	888	4194	2602
2015	F	20-24	4	3	3	888	4194	2602
2015	F	20-24	4	3	5	888	4194	2602
2015	F	20-24	4	3	4	888	4194	2602
2015	F	20-24	4	3	1	2458	4940	3670
2015	F	20-24	3	1	2	888	4194	2602
2015	F	20-24	3	1	3	888	4194	2602
2015	F	20-24	3	1	5	888	4194	2602
2015	F	20-24	3	1	4	888	4194	2602
2015	F	20-24	3	1	1	2458	4940	3670
2015	F	20-24	3	4	2	888	4194	2602
2015	F	20-24	3	4	3	888	4194	2602
2015	F	20-24	3	4	5	888	4194	2602
2015	F	20-24	3	4	4	888	4194	2602
2015	F	20-24	3	4	1	2458	4940	3670
2015	F	20-24	3	2	2	888	4194	2602
2015	F	20-24	3	2	3	888	4194	2602
2015	F	20-24	3	2	5	888	4194	2602
2015	F	20-24	3	2	4	888	4194	2602
2015	F	20-24	3	2	1	2458	4940	3670
2015	F	20-24	3	3	2	888	4194	2602
2015	F	20-24	3	3	3	888	4194	2602
2015	F	20-24	3	3	5	888	4194	2602
2015	F	20-24	3	3	4	888	4194	2602
2015	F	20-24	3	3	1	2458	4940	3670
2015	F	20-24	2	1	2	888	4194	2602
2015	F	20-24	2	1	3	888	4194	2602
2015	F	20-24	2	1	5	888	4194	2602
2015	F	20-24	2	1	4	888	4194	2602
2015	F	20-24	2	1	1	2458	4940	3670
2015	F	20-24	2	4	2	888	4194	2602
2015	F	20-24	2	4	3	888	4194	2602
2015	F	20-24	2	4	5	888	4194	2602
2015	F	20-24	2	4	4	888	4194	2602
2015	F	20-24	2	4	1	2458	4940	3670
2015	F	20-24	2	2	2	888	4194	2602
2015	F	20-24	2	2	3	888	4194	2602
2015	F	20-24	2	2	5	888	4194	2602
2015	F	20-24	2	2	4	888	4194	2602
2015	F	20-24	2	2	1	2458	4940	3670
2015	F	20-24	2	3	2	888	4194	2602
2015	F	20-24	2	3	3	888	4194	2602
