year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	28608	31654	0
2015	F	15-19	1	1	3	28608	31654	0
2015	F	15-19	1	1	5	28608	31654	0
2015	F	15-19	1	1	4	28608	31654	0
2015	F	15-19	1	1	1	101115	40241	2291
2015	F	15-19	1	4	2	28608	31654	0
2015	F	15-19	1	4	3	28608	31654	0
2015	F	15-19	1	4	5	28608	31654	0
2015	F	15-19	1	4	4	28608	31654	0
2015	F	15-19	1	4	1	101115	40241	2291
2015	F	15-19	1	2	2	28608	31654	0
2015	F	15-19	1	2	3	28608	31654	0
2015	F	15-19	1	2	5	28608	31654	0
2015	F	15-19	1	2	4	28608	31654	0
2015	F	15-19	1	2	1	101115	40241	2291
2015	F	15-19	1	3	2	28608	31654	0
2015	F	15-19	1	3	3	28608	31654	0
2015	F	15-19	1	3	5	28608	31654	0
2015	F	15-19	1	3	4	28608	31654	0
2015	F	15-19	1	3	1	101115	40241	2291
2015	F	15-19	4	1	2	28608	31654	0
2015	F	15-19	4	1	3	28608	31654	0
2015	F	15-19	4	1	5	28608	31654	0
2015	F	15-19	4	1	4	28608	31654	0
2015	F	15-19	4	1	1	101115	40241	2291
2015	F	15-19	4	4	2	28608	31654	0
2015	F	15-19	4	4	3	28608	31654	0
2015	F	15-19	4	4	5	28608	31654	0
2015	F	15-19	4	4	4	28608	31654	0
2015	F	15-19	4	4	1	101115	40241	2291
2015	F	15-19	4	2	2	28608	31654	0
2015	F	15-19	4	2	3	28608	31654	0
2015	F	15-19	4	2	5	28608	31654	0
2015	F	15-19	4	2	4	28608	31654	0
2015	F	15-19	4	2	1	101115	40241	2291
2015	F	15-19	4	3	2	28608	31654	0
2015	F	15-19	4	3	3	28608	31654	0
2015	F	15-19	4	3	5	28608	31654	0
2015	F	15-19	4	3	4	28608	31654	0
2015	F	15-19	4	3	1	101115	40241	2291
2015	F	15-19	3	1	2	28608	31654	0
2015	F	15-19	3	1	3	28608	31654	0
2015	F	15-19	3	1	5	28608	31654	0
2015	F	15-19	3	1	4	28608	31654	0
2015	F	15-19	3	1	1	101115	40241	2291
2015	F	15-19	3	4	2	28608	31654	0
2015	F	15-19	3	4	3	28608	31654	0
2015	F	15-19	3	4	5	28608	31654	0
2015	F	15-19	3	4	4	28608	31654	0
2015	F	15-19	3	4	1	101115	40241	2291
2015	F	15-19	3	2	2	28608	31654	0
2015	F	15-19	3	2	3	28608	31654	0
2015	F	15-19	3	2	5	28608	31654	0
2015	F	15-19	3	2	4	28608	31654	0
2015	F	15-19	3	2	1	101115	40241	2291
2015	F	15-19	3	3	2	28608	31654	0
2015	F	15-19	3	3	3	28608	31654	0
2015	F	15-19	3	3	5	28608	31654	0
2015	F	15-19	3	3	4	28608	31654	0
2015	F	15-19	3	3	1	101115	40241	2291
2015	F	15-19	2	1	2	28608	31654	0
2015	F	15-19	2	1	3	28608	31654	0
2015	F	15-19	2	1	5	28608	31654	0
2015	F	15-19	2	1	4	28608	31654	0
2015	F	15-19	2	1	1	101115	40241	2291
2015	F	15-19	2	4	2	28608	31654	0
2015	F	15-19	2	4	3	28608	31654	0
2015	F	15-19	2	4	5	28608	31654	0
2015	F	15-19	2	4	4	28608	31654	0
2015	F	15-19	2	4	1	101115	40241	2291
2015	F	15-19	2	2	2	28608	31654	0
2015	F	15-19	2	2	3	28608	31654	0
2015	F	15-19	2	2	5	28608	31654	0
2015	F	15-19	2	2	4	28608	31654	0
2015	F	15-19	2	2	1	101115	40241	2291
2015	F	15-19	2	3	2	28608	31654	0
2015	F	15-19	2	3	3	28608	31654	0
2015	F	15-19	2	3	5	28608	31654	0
2015	F	15-19	2	3	4	28608	31654	0
2015	F	15-19	2	3	1	101115	40241	2291
2015	F	20-24	1	1	2	15885	70160	17445
2015	F	20-24	1	1	3	15885	70160	17445
2015	F	20-24	1	1	5	15885	70160	17445
2015	F	20-24	1	1	4	15885	70160	17445
2015	F	20-24	1	1	1	37629	96569	20039
2015	F	20-24	1	4	2	15885	70160	17445
2015	F	20-24	1	4	3	15885	70160	17445
2015	F	20-24	1	4	5	15885	70160	17445
2015	F	20-24	1	4	4	15885	70160	17445
2015	F	20-24	1	4	1	37629	96569	20039
2015	F	20-24	1	2	2	15885	70160	17445
2015	F	20-24	1	2	3	15885	70160	17445
2015	F	20-24	1	2	5	15885	70160	17445
2015	F	20-24	1	2	4	15885	70160	17445
2015	F	20-24	1	2	1	37629	96569	20039
2015	F	20-24	1	3	2	15885	70160	17445
2015	F	20-24	1	3	3	15885	70160	17445
2015	F	20-24	1	3	5	15885	70160	17445
2015	F	20-24	1	3	4	15885	70160	17445
2015	F	20-24	1	3	1	37629	96569	20039
2015	F	20-24	4	1	2	15885	70160	17445
2015	F	20-24	4	1	3	15885	70160	17445
2015	F	20-24	4	1	5	15885	70160	17445
2015	F	20-24	4	1	4	15885	70160	17445
2015	F	20-24	4	1	1	37629	96569	20039
2015	F	20-24	4	4	2	15885	70160	17445
2015	F	20-24	4	4	3	15885	70160	17445
2015	F	20-24	4	4	5	15885	70160	17445
2015	F	20-24	4	4	4	15885	70160	17445
2015	F	20-24	4	4	1	37629	96569	20039
2015	F	20-24	4	2	2	15885	70160	17445
2015	F	20-24	4	2	3	15885	70160	17445
2015	F	20-24	4	2	5	15885	70160	17445
2015	F	20-24	4	2	4	15885	70160	17445
2015	F	20-24	4	2	1	37629	96569	20039
2015	F	20-24	4	3	2	15885	70160	17445
2015	F	20-24	4	3	3	15885	70160	17445
2015	F	20-24	4	3	5	15885	70160	17445
2015	F	20-24	4	3	4	15885	70160	17445
2015	F	20-24	4	3	1	37629	96569	20039
2015	F	20-24	3	1	2	15885	70160	17445
2015	F	20-24	3	1	3	15885	70160	17445
2015	F	20-24	3	1	5	15885	70160	17445
2015	F	20-24	3	1	4	15885	70160	17445
2015	F	20-24	3	1	1	37629	96569	20039
2015	F	20-24	3	4	2	15885	70160	17445
2015	F	20-24	3	4	3	15885	70160	17445
2015	F	20-24	3	4	5	15885	70160	17445
2015	F	20-24	3	4	4	15885	70160	17445
2015	F	20-24	3	4	1	37629	96569	20039
2015	F	20-24	3	2	2	15885	70160	17445
2015	F	20-24	3	2	3	15885	70160	17445
2015	F	20-24	3	2	5	15885	70160	17445
2015	F	20-24	3	2	4	15885	70160	17445
2015	F	20-24	3	2	1	37629	96569	20039
2015	F	20-24	3	3	2	15885	70160	17445
2015	F	20-24	3	3	3	15885	70160	17445
2015	F	20-24	3	3	5	15885	70160	17445
2015	F	20-24	3	3	4	15885	70160	17445
2015	F	20-24	3	3	1	37629	96569	20039
2015	F	20-24	2	1	2	15885	70160	17445
2015	F	20-24	2	1	3	15885	70160	17445
2015	F	20-24	2	1	5	15885	70160	17445
2015	F	20-24	2	1	4	15885	70160	17445
2015	F	20-24	2	1	1	37629	96569	20039
2015	F	20-24	2	4	2	15885	70160	17445
2015	F	20-24	2	4	3	15885	70160	17445
2015	F	20-24	2	4	5	15885	70160	17445
2015	F	20-24	2	4	4	15885	70160	17445
2015	F	20-24	2	4	1	37629	96569	20039
2015	F	20-24	2	2	2	15885	70160	17445
2015	F	20-24	2	2	3	15885	70160	17445
2015	F	20-24	2	2	5	15885	70160	17445
2015	F	20-24	2	2	4	15885	70160	17445
2015	F	20-24	2	2	1	37629	96569	20039
2015	F	20-24	2	3	2	15885	70160	17445
2015	F	20-24	2	3	3	15885	70160	17445
2015	F	20-24	2	3	5	15885	70160	17445
2015	F	20-24	2	3	4	15885	70160	17445
2015	F	20-24	2	3	1	37629	96569	20039
2015	F	25-29	1	1	2	4168	58813	51120
2015	F	25-29	1	1	3	4168	58813	51120
2015	F	25-29	1	1	5	4168	58813	51120
2015	F	25-29	1	1	4	4168	58813	51120
2015	F	25-29	1	1	1	10701	78604	58392
2015	F	25-29	1	4	2	4168	58813	51120
2015	F	25-29	1	4	3	4168	58813	51120
2015	F	25-29	1	4	5	4168	58813	51120
2015	F	25-29	1	4	4	4168	58813	51120
2015	F	25-29	1	4	1	10701	78604	58392
2015	F	25-29	1	2	2	4168	58813	51120
2015	F	25-29	1	2	3	4168	58813	51120
2015	F	25-29	1	2	5	4168	58813	51120
2015	F	25-29	1	2	4	4168	58813	51120
2015	F	25-29	1	2	1	10701	78604	58392
2015	F	25-29	1	3	2	4168	58813	51120
2015	F	25-29	1	3	3	4168	58813	51120
2015	F	25-29	1	3	5	4168	58813	51120
2015	F	25-29	1	3	4	4168	58813	51120
2015	F	25-29	1	3	1	10701	78604	58392
2015	F	25-29	4	1	2	4168	58813	51120
2015	F	25-29	4	1	3	4168	58813	51120
2015	F	25-29	4	1	5	4168	58813	51120
2015	F	25-29	4	1	4	4168	58813	51120
2015	F	25-29	4	1	1	10701	78604	58392
2015	F	25-29	4	4	2	4168	58813	51120
