year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	65603	153348	47864
2015	F	15-19	1	1	3	65603	153348	47864
2015	F	15-19	1	1	5	65603	153348	47864
2015	F	15-19	1	1	4	65603	153348	47864
2015	F	15-19	1	1	1	1035913	658893	132197
2015	F	15-19	1	4	2	65603	153348	47864
2015	F	15-19	1	4	3	65603	153348	47864
2015	F	15-19	1	4	5	65603	153348	47864
2015	F	15-19	1	4	4	65603	153348	47864
2015	F	15-19	1	4	1	1035913	658893	132197
2015	F	15-19	1	2	2	65603	153348	47864
2015	F	15-19	1	2	3	65603	153348	47864
2015	F	15-19	1	2	5	65603	153348	47864
2015	F	15-19	1	2	4	65603	153348	47864
2015	F	15-19	1	2	1	1035913	658893	132197
2015	F	15-19	1	3	2	65603	153348	47864
2015	F	15-19	1	3	3	65603	153348	47864
2015	F	15-19	1	3	5	65603	153348	47864
2015	F	15-19	1	3	4	65603	153348	47864
2015	F	15-19	1	3	1	1035913	658893	132197
2015	F	15-19	4	1	2	65603	153348	47864
2015	F	15-19	4	1	3	65603	153348	47864
2015	F	15-19	4	1	5	65603	153348	47864
2015	F	15-19	4	1	4	65603	153348	47864
2015	F	15-19	4	1	1	1035913	658893	132197
2015	F	15-19	4	4	2	65603	153348	47864
2015	F	15-19	4	4	3	65603	153348	47864
2015	F	15-19	4	4	5	65603	153348	47864
2015	F	15-19	4	4	4	65603	153348	47864
2015	F	15-19	4	4	1	1035913	658893	132197
2015	F	15-19	4	2	2	65603	153348	47864
2015	F	15-19	4	2	3	65603	153348	47864
2015	F	15-19	4	2	5	65603	153348	47864
2015	F	15-19	4	2	4	65603	153348	47864
2015	F	15-19	4	2	1	1035913	658893	132197
2015	F	15-19	4	3	2	65603	153348	47864
2015	F	15-19	4	3	3	65603	153348	47864
2015	F	15-19	4	3	5	65603	153348	47864
2015	F	15-19	4	3	4	65603	153348	47864
2015	F	15-19	4	3	1	1035913	658893	132197
2015	F	15-19	3	1	2	65603	153348	47864
2015	F	15-19	3	1	3	65603	153348	47864
2015	F	15-19	3	1	5	65603	153348	47864
2015	F	15-19	3	1	4	65603	153348	47864
2015	F	15-19	3	1	1	1035913	658893	132197
2015	F	15-19	3	4	2	65603	153348	47864
2015	F	15-19	3	4	3	65603	153348	47864
2015	F	15-19	3	4	5	65603	153348	47864
2015	F	15-19	3	4	4	65603	153348	47864
2015	F	15-19	3	4	1	1035913	658893	132197
2015	F	15-19	3	2	2	65603	153348	47864
2015	F	15-19	3	2	3	65603	153348	47864
2015	F	15-19	3	2	5	65603	153348	47864
2015	F	15-19	3	2	4	65603	153348	47864
2015	F	15-19	3	2	1	1035913	658893	132197
2015	F	15-19	3	3	2	65603	153348	47864
2015	F	15-19	3	3	3	65603	153348	47864
2015	F	15-19	3	3	5	65603	153348	47864
2015	F	15-19	3	3	4	65603	153348	47864
2015	F	15-19	3	3	1	1035913	658893	132197
2015	F	15-19	2	1	2	65603	153348	47864
2015	F	15-19	2	1	3	65603	153348	47864
2015	F	15-19	2	1	5	65603	153348	47864
2015	F	15-19	2	1	4	65603	153348	47864
2015	F	15-19	2	1	1	1035913	658893	132197
2015	F	15-19	2	4	2	65603	153348	47864
2015	F	15-19	2	4	3	65603	153348	47864
2015	F	15-19	2	4	5	65603	153348	47864
2015	F	15-19	2	4	4	65603	153348	47864
2015	F	15-19	2	4	1	1035913	658893	132197
2015	F	15-19	2	2	2	65603	153348	47864
2015	F	15-19	2	2	3	65603	153348	47864
2015	F	15-19	2	2	5	65603	153348	47864
2015	F	15-19	2	2	4	65603	153348	47864
2015	F	15-19	2	2	1	1035913	658893	132197
2015	F	15-19	2	3	2	65603	153348	47864
2015	F	15-19	2	3	3	65603	153348	47864
2015	F	15-19	2	3	5	65603	153348	47864
2015	F	15-19	2	3	4	65603	153348	47864
2015	F	15-19	2	3	1	1035913	658893	132197
2015	F	20-24	1	1	2	222812	468322	328577
2015	F	20-24	1	1	3	222812	468322	328577
2015	F	20-24	1	1	5	222812	468322	328577
2015	F	20-24	1	1	4	222812	468322	328577
2015	F	20-24	1	1	1	378889	843027	498971
2015	F	20-24	1	4	2	222812	468322	328577
2015	F	20-24	1	4	3	222812	468322	328577
2015	F	20-24	1	4	5	222812	468322	328577
2015	F	20-24	1	4	4	222812	468322	328577
2015	F	20-24	1	4	1	378889	843027	498971
2015	F	20-24	1	2	2	222812	468322	328577
2015	F	20-24	1	2	3	222812	468322	328577
2015	F	20-24	1	2	5	222812	468322	328577
2015	F	20-24	1	2	4	222812	468322	328577
2015	F	20-24	1	2	1	378889	843027	498971
2015	F	20-24	1	3	2	222812	468322	328577
2015	F	20-24	1	3	3	222812	468322	328577
2015	F	20-24	1	3	5	222812	468322	328577
2015	F	20-24	1	3	4	222812	468322	328577
2015	F	20-24	1	3	1	378889	843027	498971
2015	F	20-24	4	1	2	222812	468322	328577
2015	F	20-24	4	1	3	222812	468322	328577
2015	F	20-24	4	1	5	222812	468322	328577
2015	F	20-24	4	1	4	222812	468322	328577
2015	F	20-24	4	1	1	378889	843027	498971
2015	F	20-24	4	4	2	222812	468322	328577
2015	F	20-24	4	4	3	222812	468322	328577
2015	F	20-24	4	4	5	222812	468322	328577
2015	F	20-24	4	4	4	222812	468322	328577
2015	F	20-24	4	4	1	378889	843027	498971
2015	F	20-24	4	2	2	222812	468322	328577
2015	F	20-24	4	2	3	222812	468322	328577
2015	F	20-24	4	2	5	222812	468322	328577
2015	F	20-24	4	2	4	222812	468322	328577
2015	F	20-24	4	2	1	378889	843027	498971
2015	F	20-24	4	3	2	222812	468322	328577
2015	F	20-24	4	3	3	222812	468322	328577
2015	F	20-24	4	3	5	222812	468322	328577
2015	F	20-24	4	3	4	222812	468322	328577
2015	F	20-24	4	3	1	378889	843027	498971
2015	F	20-24	3	1	2	222812	468322	328577
2015	F	20-24	3	1	3	222812	468322	328577
2015	F	20-24	3	1	5	222812	468322	328577
2015	F	20-24	3	1	4	222812	468322	328577
2015	F	20-24	3	1	1	378889	843027	498971
2015	F	20-24	3	4	2	222812	468322	328577
2015	F	20-24	3	4	3	222812	468322	328577
2015	F	20-24	3	4	5	222812	468322	328577
2015	F	20-24	3	4	4	222812	468322	328577
2015	F	20-24	3	4	1	378889	843027	498971
2015	F	20-24	3	2	2	222812	468322	328577
2015	F	20-24	3	2	3	222812	468322	328577
2015	F	20-24	3	2	5	222812	468322	328577
2015	F	20-24	3	2	4	222812	468322	328577
2015	F	20-24	3	2	1	378889	843027	498971
