year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	2076	11368	0
2015	F	15-19	1	1	3	2076	11368	0
2015	F	15-19	1	1	5	2076	11368	0
2015	F	15-19	1	1	4	2076	11368	0
2015	F	15-19	1	1	1	145612	88155	7846
2015	F	15-19	1	4	2	2076	11368	0
2015	F	15-19	1	4	3	2076	11368	0
2015	F	15-19	1	4	5	2076	11368	0
2015	F	15-19	1	4	4	2076	11368	0
2015	F	15-19	1	4	1	145612	88155	7846
2015	F	15-19	1	2	2	2076	11368	0
2015	F	15-19	1	2	3	2076	11368	0
2015	F	15-19	1	2	5	2076	11368	0
2015	F	15-19	1	2	4	2076	11368	0
2015	F	15-19	1	2	1	145612	88155	7846
2015	F	15-19	1	3	2	2076	11368	0
2015	F	15-19	1	3	3	2076	11368	0
2015	F	15-19	1	3	5	2076	11368	0
2015	F	15-19	1	3	4	2076	11368	0
2015	F	15-19	1	3	1	145612	88155	7846
2015	F	15-19	4	1	2	2076	11368	0
2015	F	15-19	4	1	3	2076	11368	0
2015	F	15-19	4	1	5	2076	11368	0
2015	F	15-19	4	1	4	2076	11368	0
2015	F	15-19	4	1	1	145612	88155	7846
2015	F	15-19	4	4	2	2076	11368	0
2015	F	15-19	4	4	3	2076	11368	0
2015	F	15-19	4	4	5	2076	11368	0
2015	F	15-19	4	4	4	2076	11368	0
2015	F	15-19	4	4	1	145612	88155	7846
2015	F	15-19	4	2	2	2076	11368	0
2015	F	15-19	4	2	3	2076	11368	0
2015	F	15-19	4	2	5	2076	11368	0
2015	F	15-19	4	2	4	2076	11368	0
2015	F	15-19	4	2	1	145612	88155	7846
2015	F	15-19	4	3	2	2076	11368	0
2015	F	15-19	4	3	3	2076	11368	0
2015	F	15-19	4	3	5	2076	11368	0
2015	F	15-19	4	3	4	2076	11368	0
2015	F	15-19	4	3	1	145612	88155	7846
2015	F	15-19	3	1	2	2076	11368	0
2015	F	15-19	3	1	3	2076	11368	0
2015	F	15-19	3	1	5	2076	11368	0
2015	F	15-19	3	1	4	2076	11368	0
2015	F	15-19	3	1	1	145612	88155	7846
2015	F	15-19	3	4	2	2076	11368	0
2015	F	15-19	3	4	3	2076	11368	0
2015	F	15-19	3	4	5	2076	11368	0
2015	F	15-19	3	4	4	2076	11368	0
2015	F	15-19	3	4	1	145612	88155	7846
2015	F	15-19	3	2	2	2076	11368	0
2015	F	15-19	3	2	3	2076	11368	0
2015	F	15-19	3	2	5	2076	11368	0
2015	F	15-19	3	2	4	2076	11368	0
2015	F	15-19	3	2	1	145612	88155	7846
2015	F	15-19	3	3	2	2076	11368	0
2015	F	15-19	3	3	3	2076	11368	0
2015	F	15-19	3	3	5	2076	11368	0
2015	F	15-19	3	3	4	2076	11368	0
2015	F	15-19	3	3	1	145612	88155	7846
2015	F	15-19	2	1	2	2076	11368	0
2015	F	15-19	2	1	3	2076	11368	0
2015	F	15-19	2	1	5	2076	11368	0
2015	F	15-19	2	1	4	2076	11368	0
2015	F	15-19	2	1	1	145612	88155	7846
2015	F	15-19	2	4	2	2076	11368	0
2015	F	15-19	2	4	3	2076	11368	0
2015	F	15-19	2	4	5	2076	11368	0
2015	F	15-19	2	4	4	2076	11368	0
2015	F	15-19	2	4	1	145612	88155	7846
2015	F	15-19	2	2	2	2076	11368	0
2015	F	15-19	2	2	3	2076	11368	0
2015	F	15-19	2	2	5	2076	11368	0
2015	F	15-19	2	2	4	2076	11368	0
2015	F	15-19	2	2	1	145612	88155	7846
2015	F	15-19	2	3	2	2076	11368	0
2015	F	15-19	2	3	3	2076	11368	0
2015	F	15-19	2	3	5	2076	11368	0
2015	F	15-19	2	3	4	2076	11368	0
2015	F	15-19	2	3	1	145612	88155	7846
2015	F	20-24	1	1	2	29336	50539	42343
2015	F	20-24	1	1	3	29336	50539	42343
2015	F	20-24	1	1	5	29336	50539	42343
2015	F	20-24	1	1	4	29336	50539	42343
2015	F	20-24	1	1	1	46482	149031	48193
2015	F	20-24	1	4	2	29336	50539	42343
2015	F	20-24	1	4	3	29336	50539	42343
2015	F	20-24	1	4	5	29336	50539	42343
2015	F	20-24	1	4	4	29336	50539	42343
2015	F	20-24	1	4	1	46482	149031	48193
2015	F	20-24	1	2	2	29336	50539	42343
2015	F	20-24	1	2	3	29336	50539	42343
2015	F	20-24	1	2	5	29336	50539	42343
2015	F	20-24	1	2	4	29336	50539	42343
2015	F	20-24	1	2	1	46482	149031	48193
2015	F	20-24	1	3	2	29336	50539	42343
2015	F	20-24	1	3	3	29336	50539	42343
2015	F	20-24	1	3	5	29336	50539	42343
2015	F	20-24	1	3	4	29336	50539	42343
2015	F	20-24	1	3	1	46482	149031	48193
2015	F	20-24	4	1	2	29336	50539	42343
2015	F	20-24	4	1	3	29336	50539	42343
2015	F	20-24	4	1	5	29336	50539	42343
2015	F	20-24	4	1	4	29336	50539	42343
2015	F	20-24	4	1	1	46482	149031	48193
2015	F	20-24	4	4	2	29336	50539	42343
2015	F	20-24	4	4	3	29336	50539	42343
2015	F	20-24	4	4	5	29336	50539	42343
2015	F	20-24	4	4	4	29336	50539	42343
2015	F	20-24	4	4	1	46482	149031	48193
2015	F	20-24	4	2	2	29336	50539	42343
2015	F	20-24	4	2	3	29336	50539	42343
2015	F	20-24	4	2	5	29336	50539	42343
2015	F	20-24	4	2	4	29336	50539	42343
2015	F	20-24	4	2	1	46482	149031	48193
2015	F	20-24	4	3	2	29336	50539	42343
2015	F	20-24	4	3	3	29336	50539	42343
2015	F	20-24	4	3	5	29336	50539	42343
2015	F	20-24	4	3	4	29336	50539	42343
2015	F	20-24	4	3	1	46482	149031	48193
2015	F	20-24	3	1	2	29336	50539	42343
2015	F	20-24	3	1	3	29336	50539	42343
2015	F	20-24	3	1	5	29336	50539	42343
2015	F	20-24	3	1	4	29336	50539	42343
2015	F	20-24	3	1	1	46482	149031	48193
2015	F	20-24	3	4	2	29336	50539	42343
2015	F	20-24	3	4	3	29336	50539	42343
2015	F	20-24	3	4	5	29336	50539	42343
2015	F	20-24	3	4	4	29336	50539	42343
