country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
HU	2015	F	15	0	0	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	0	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	0	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	0	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	0	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	0	3	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	3	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	3	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	3	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	3	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	0	1	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	1	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	1	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	1	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	1	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	0	2	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	2	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	2	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	2	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	0	2	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	3	0	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	0	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	0	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	0	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	0	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	3	3	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	3	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	3	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	3	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	3	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	3	1	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	1	2	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	1	4	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	1	3	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	1	0	174542	68076	5765	3545	2342	144	1542	399	47
HU	2015	F	15	3	2	1	5142	10929	0	0	203	0	0	0	0
HU	2015	F	15	3	2	2	5142	10929	0	0	203	0	0	0	0
