country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
IE	2015	F	15	0	0	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	0	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	0	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	0	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	0	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	0	3	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	3	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	3	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	3	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	3	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	0	1	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	1	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	1	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	1	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	1	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	0	2	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	2	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	2	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	2	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	0	2	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	3	0	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	0	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	0	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	0	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	0	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	3	3	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	3	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	3	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	3	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	3	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	3	1	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	1	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	1	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	1	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	1	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	3	2	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	2	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	2	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	2	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	3	2	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	2	0	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	0	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	0	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	0	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	0	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	2	3	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	3	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	3	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	3	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	3	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	2	1	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	1	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	1	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	1	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	1	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	2	2	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	2	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	2	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	2	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	2	2	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	1	0	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	0	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	0	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	0	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	0	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	1	3	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	3	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	3	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	3	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	3	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	1	1	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	1	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	1	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	1	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	1	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	15	1	2	1	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	2	2	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	2	4	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	2	L_oconv	5741	13170	4580	870	1585	0	404	412	0
IE	2015	F	15	1	2	0	71331	34365	6971	9464	4526	713	5060	2497	531
IE	2015	F	20	0	0	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	0	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	0	4	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	0	L_oconv	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	0	0	19200	45313	26274	4647	9372	4325	1988	4351	3039
IE	2015	F	20	0	3	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	3	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	3	4	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	3	L_oconv	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	3	0	19200	45313	26274	4647	9372	4325	1988	4351	3039
IE	2015	F	20	0	1	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	1	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	1	4	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	1	L_oconv	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	1	0	19200	45313	26274	4647	9372	4325	1988	4351	3039
IE	2015	F	20	0	2	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	2	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	2	4	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	2	L_oconv	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	0	2	0	19200	45313	26274	4647	9372	4325	1988	4351	3039
IE	2015	F	20	3	0	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	0	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	0	4	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	0	L_oconv	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	0	0	19200	45313	26274	4647	9372	4325	1988	4351	3039
IE	2015	F	20	3	3	1	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	3	2	7878	25090	21382	1140	5287	3617	241	1168	1266
IE	2015	F	20	3	3	4	7878	25090	21382	1140	5287	3617	241	1168	1266
