country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
LV	2015	F	15-19	0	0	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	0	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	0	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	0	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	0	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	0	3	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	3	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	3	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	3	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	3	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	0	1	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	1	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	1	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	1	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	1	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	0	2	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	2	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	2	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	2	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	0	2	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	3	0	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	0	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	0	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	0	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	0	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	3	3	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	3	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	3	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	3	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	3	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	3	1	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	1	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	1	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	1	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	1	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	3	2	1	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	2	2	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	2	4	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	2	3	1538	2353	0	0	0	0	0	0	0
LV	2015	F	15-19	3	2	0	30597	11045	1779	65	26	3	293	111	22
LV	2015	F	15-19	2	0	1	1538	2353	0	0	0	0	0	0	0
