country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
NL	2015	F	15	0	0	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	0	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	0	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	0	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	0	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	0	3	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	3	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	3	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	3	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	3	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	0	1	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	1	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	1	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	1	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	1	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	0	2	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	2	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	2	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	2	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	0	2	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	3	0	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	0	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	0	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	0	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	0	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	3	3	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	3	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	3	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	3	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	3	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	3	1	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	1	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	1	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	1	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	1	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	3	2	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	2	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	2	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	2	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	3	2	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	2	0	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	0	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	0	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	0	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	0	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	2	3	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	3	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	3	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	3	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	3	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	2	1	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	1	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	1	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	1	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	1	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	2	2	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	2	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	2	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	2	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	2	2	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	1	0	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	0	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	0	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	0	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	0	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	1	3	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	3	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	3	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	3	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	3	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	1	1	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	1	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	1	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	1	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	1	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	15	1	2	1	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	2	2	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	2	4	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	2	3	171636	104663	13995	2211	1578	0	10156	2254	0
NL	2015	F	15	1	2	0	294392	141054	23197	4344	2548	417	19366	7322	768
NL	2015	F	20	0	0	1	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	0	2	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	0	4	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	0	3	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	0	0	115193	233379	105221	3459	7819	3669	24213	23287	5399
NL	2015	F	20	0	3	1	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	3	2	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	3	4	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	3	3	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	3	0	115193	233379	105221	3459	7819	3669	24213	23287	5399
NL	2015	F	20	0	1	1	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	1	2	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	1	4	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	1	3	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	1	0	115193	233379	105221	3459	7819	3669	24213	23287	5399
NL	2015	F	20	0	2	1	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	2	2	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	2	4	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	2	3	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	0	2	0	115193	233379	105221	3459	7819	3669	24213	23287	5399
NL	2015	F	20	3	0	1	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	3	0	2	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	3	0	4	84157	187293	90678	3459	2801	1765	10029	8006	1269
NL	2015	F	20	3	0	3	84157	187293	90678	3459	2801	1765	10029	8006	1269
