year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	173313	102083	13578
2015	F	15-19	1	1	3	173313	102083	13578
2015	F	15-19	1	1	5	173313	102083	13578
2015	F	15-19	1	1	4	173313	102083	13578
2015	F	15-19	1	1	1	297475	137503	23665
2015	F	15-19	1	4	2	173313	102083	13578
2015	F	15-19	1	4	3	173313	102083	13578
2015	F	15-19	1	4	5	173313	102083	13578
2015	F	15-19	1	4	4	173313	102083	13578
2015	F	15-19	1	4	1	297475	137503	23665
2015	F	15-19	1	2	2	173313	102083	13578
2015	F	15-19	1	2	3	173313	102083	13578
2015	F	15-19	1	2	5	173313	102083	13578
2015	F	15-19	1	2	4	173313	102083	13578
2015	F	15-19	1	2	1	297475	137503	23665
2015	F	15-19	1	3	2	173313	102083	13578
2015	F	15-19	1	3	3	173313	102083	13578
2015	F	15-19	1	3	5	173313	102083	13578
2015	F	15-19	1	3	4	173313	102083	13578
2015	F	15-19	1	3	1	297475	137503	23665
2015	F	15-19	4	1	2	173313	102083	13578
2015	F	15-19	4	1	3	173313	102083	13578
2015	F	15-19	4	1	5	173313	102083	13578
2015	F	15-19	4	1	4	173313	102083	13578
2015	F	15-19	4	1	1	297475	137503	23665
2015	F	15-19	4	4	2	173313	102083	13578
2015	F	15-19	4	4	3	173313	102083	13578
2015	F	15-19	4	4	5	173313	102083	13578
2015	F	15-19	4	4	4	173313	102083	13578
2015	F	15-19	4	4	1	297475	137503	23665
2015	F	15-19	4	2	2	173313	102083	13578
2015	F	15-19	4	2	3	173313	102083	13578
2015	F	15-19	4	2	5	173313	102083	13578
2015	F	15-19	4	2	4	173313	102083	13578
2015	F	15-19	4	2	1	297475	137503	23665
2015	F	15-19	4	3	2	173313	102083	13578
2015	F	15-19	4	3	3	173313	102083	13578
2015	F	15-19	4	3	5	173313	102083	13578
2015	F	15-19	4	3	4	173313	102083	13578
2015	F	15-19	4	3	1	297475	137503	23665
2015	F	15-19	3	1	2	173313	102083	13578
2015	F	15-19	3	1	3	173313	102083	13578
2015	F	15-19	3	1	5	173313	102083	13578
2015	F	15-19	3	1	4	173313	102083	13578
2015	F	15-19	3	1	1	297475	137503	23665
2015	F	15-19	3	4	2	173313	102083	13578
2015	F	15-19	3	4	3	173313	102083	13578
2015	F	15-19	3	4	5	173313	102083	13578
2015	F	15-19	3	4	4	173313	102083	13578
2015	F	15-19	3	4	1	297475	137503	23665
2015	F	15-19	3	2	2	173313	102083	13578
2015	F	15-19	3	2	3	173313	102083	13578
2015	F	15-19	3	2	5	173313	102083	13578
2015	F	15-19	3	2	4	173313	102083	13578
2015	F	15-19	3	2	1	297475	137503	23665
2015	F	15-19	3	3	2	173313	102083	13578
2015	F	15-19	3	3	3	173313	102083	13578
2015	F	15-19	3	3	5	173313	102083	13578
2015	F	15-19	3	3	4	173313	102083	13578
2015	F	15-19	3	3	1	297475	137503	23665
2015	F	15-19	2	1	2	173313	102083	13578
2015	F	15-19	2	1	3	173313	102083	13578
2015	F	15-19	2	1	5	173313	102083	13578
2015	F	15-19	2	1	4	173313	102083	13578
2015	F	15-19	2	1	1	297475	137503	23665
2015	F	15-19	2	4	2	173313	102083	13578
2015	F	15-19	2	4	3	173313	102083	13578
2015	F	15-19	2	4	5	173313	102083	13578
2015	F	15-19	2	4	4	173313	102083	13578
2015	F	15-19	2	4	1	297475	137503	23665
2015	F	15-19	2	2	2	173313	102083	13578
2015	F	15-19	2	2	3	173313	102083	13578
2015	F	15-19	2	2	5	173313	102083	13578
2015	F	15-19	2	2	4	173313	102083	13578
2015	F	15-19	2	2	1	297475	137503	23665
2015	F	15-19	2	3	2	173313	102083	13578
2015	F	15-19	2	3	3	173313	102083	13578
2015	F	15-19	2	3	5	173313	102083	13578
2015	F	15-19	2	3	4	173313	102083	13578
2015	F	15-19	2	3	1	297475	137503	23665
2015	F	20-24	1	1	2	88408	183480	89079
2015	F	20-24	1	1	3	88408	183480	89079
2015	F	20-24	1	1	5	88408	183480	89079
2015	F	20-24	1	1	4	88408	183480	89079
2015	F	20-24	1	1	1	121980	228049	103764
2015	F	20-24	1	4	2	88408	183480	89079
2015	F	20-24	1	4	3	88408	183480	89079
2015	F	20-24	1	4	5	88408	183480	89079
2015	F	20-24	1	4	4	88408	183480	89079
2015	F	20-24	1	4	1	121980	228049	103764
2015	F	20-24	1	2	2	88408	183480	89079
2015	F	20-24	1	2	3	88408	183480	89079
2015	F	20-24	1	2	5	88408	183480	89079
2015	F	20-24	1	2	4	88408	183480	89079
2015	F	20-24	1	2	1	121980	228049	103764
2015	F	20-24	1	3	2	88408	183480	89079
2015	F	20-24	1	3	3	88408	183480	89079
2015	F	20-24	1	3	5	88408	183480	89079
2015	F	20-24	1	3	4	88408	183480	89079
2015	F	20-24	1	3	1	121980	228049	103764
2015	F	20-24	4	1	2	88408	183480	89079
2015	F	20-24	4	1	3	88408	183480	89079
2015	F	20-24	4	1	5	88408	183480	89079
2015	F	20-24	4	1	4	88408	183480	89079
2015	F	20-24	4	1	1	121980	228049	103764
2015	F	20-24	4	4	2	88408	183480	89079
2015	F	20-24	4	4	3	88408	183480	89079
2015	F	20-24	4	4	5	88408	183480	89079
2015	F	20-24	4	4	4	88408	183480	89079
2015	F	20-24	4	4	1	121980	228049	103764
2015	F	20-24	4	2	2	88408	183480	89079
2015	F	20-24	4	2	3	88408	183480	89079
2015	F	20-24	4	2	5	88408	183480	89079
2015	F	20-24	4	2	4	88408	183480	89079
2015	F	20-24	4	2	1	121980	228049	103764
2015	F	20-24	4	3	2	88408	183480	89079
2015	F	20-24	4	3	3	88408	183480	89079
2015	F	20-24	4	3	5	88408	183480	89079
2015	F	20-24	4	3	4	88408	183480	89079
2015	F	20-24	4	3	1	121980	228049	103764
2015	F	20-24	3	1	2	88408	183480	89079
2015	F	20-24	3	1	3	88408	183480	89079
2015	F	20-24	3	1	5	88408	183480	89079
2015	F	20-24	3	1	4	88408	183480	89079
2015	F	20-24	3	1	1	121980	228049	103764
2015	F	20-24	3	4	2	88408	183480	89079
2015	F	20-24	3	4	3	88408	183480	89079
2015	F	20-24	3	4	5	88408	183480	89079
2015	F	20-24	3	4	4	88408	183480	89079
2015	F	20-24	3	4	1	121980	228049	103764
2015	F	20-24	3	2	2	88408	183480	89079
2015	F	20-24	3	2	3	88408	183480	89079
2015	F	20-24	3	2	5	88408	183480	89079
2015	F	20-24	3	2	4	88408	183480	89079
2015	F	20-24	3	2	1	121980	228049	103764
2015	F	20-24	3	3	2	88408	183480	89079
2015	F	20-24	3	3	3	88408	183480	89079
2015	F	20-24	3	3	5	88408	183480	89079
2015	F	20-24	3	3	4	88408	183480	89079
2015	F	20-24	3	3	1	121980	228049	103764
2015	F	20-24	2	1	2	88408	183480	89079
2015	F	20-24	2	1	3	88408	183480	89079
2015	F	20-24	2	1	5	88408	183480	89079
2015	F	20-24	2	1	4	88408	183480	89079
2015	F	20-24	2	1	1	121980	228049	103764
2015	F	20-24	2	4	2	88408	183480	89079
2015	F	20-24	2	4	3	88408	183480	89079
2015	F	20-24	2	4	5	88408	183480	89079
2015	F	20-24	2	4	4	88408	183480	89079
2015	F	20-24	2	4	1	121980	228049	103764
2015	F	20-24	2	2	2	88408	183480	89079
2015	F	20-24	2	2	3	88408	183480	89079
2015	F	20-24	2	2	5	88408	183480	89079
2015	F	20-24	2	2	4	88408	183480	89079
2015	F	20-24	2	2	1	121980	228049	103764
2015	F	20-24	2	3	2	88408	183480	89079
2015	F	20-24	2	3	3	88408	183480	89079
2015	F	20-24	2	3	5	88408	183480	89079
2015	F	20-24	2	3	4	88408	183480	89079
2015	F	20-24	2	3	1	121980	228049	103764
2015	F	25-29	1	1	2	36467	165635	173561
2015	F	25-29	1	1	3	36467	165635	173561
2015	F	25-29	1	1	5	36467	165635	173561
2015	F	25-29	1	1	4	36467	165635	173561
2015	F	25-29	1	1	1	52433	187234	186618
2015	F	25-29	1	4	2	36467	165635	173561
2015	F	25-29	1	4	3	36467	165635	173561
2015	F	25-29	1	4	5	36467	165635	173561
2015	F	25-29	1	4	4	36467	165635	173561
2015	F	25-29	1	4	1	52433	187234	186618
2015	F	25-29	1	2	2	36467	165635	173561
2015	F	25-29	1	2	3	36467	165635	173561
2015	F	25-29	1	2	5	36467	165635	173561
2015	F	25-29	1	2	4	36467	165635	173561
2015	F	25-29	1	2	1	52433	187234	186618
2015	F	25-29	1	3	2	36467	165635	173561
2015	F	25-29	1	3	3	36467	165635	173561
2015	F	25-29	1	3	5	36467	165635	173561
2015	F	25-29	1	3	4	36467	165635	173561
2015	F	25-29	1	3	1	52433	187234	186618
2015	F	25-29	4	1	2	36467	165635	173561
2015	F	25-29	4	1	3	36467	165635	173561
2015	F	25-29	4	1	5	36467	165635	173561
2015	F	25-29	4	1	4	36467	165635	173561
2015	F	25-29	4	1	1	52433	187234	186618
2015	F	25-29	4	4	2	36467	165635	173561
2015	F	25-29	4	4	3	36467	165635	173561
2015	F	25-29	4	4	5	36467	165635	173561
2015	F	25-29	4	4	4	36467	165635	173561
2015	F	25-29	4	4	1	52433	187234	186618
2015	F	25-29	4	2	2	36467	165635	173561
2015	F	25-29	4	2	3	36467	165635	173561
2015	F	25-29	4	2	5	36467	165635	173561
2015	F	25-29	4	2	4	36467	165635	173561
2015	F	25-29	4	2	1	52433	187234	186618
2015	F	25-29	4	3	2	36467	165635	173561
2015	F	25-29	4	3	3	36467	165635	173561
2015	F	25-29	4	3	5	36467	165635	173561
2015	F	25-29	4	3	4	36467	165635	173561
2015	F	25-29	4	3	1	52433	187234	186618
2015	F	25-29	3	1	2	36467	165635	173561
2015	F	25-29	3	1	3	36467	165635	173561
2015	F	25-29	3	1	5	36467	165635	173561
2015	F	25-29	3	1	4	36467	165635	173561
2015	F	25-29	3	1	1	52433	187234	186618
2015	F	25-29	3	4	2	36467	165635	173561
2015	F	25-29	3	4	3	36467	165635	173561
2015	F	25-29	3	4	5	36467	165635	173561
2015	F	25-29	3	4	4	36467	165635	173561
2015	F	25-29	3	4	1	52433	187234	186618
2015	F	25-29	3	2	2	36467	165635	173561
2015	F	25-29	3	2	3	36467	165635	173561
2015	F	25-29	3	2	5	36467	165635	173561
2015	F	25-29	3	2	4	36467	165635	173561
2015	F	25-29	3	2	1	52433	187234	186618
2015	F	25-29	3	3	2	36467	165635	173561
2015	F	25-29	3	3	3	36467	165635	173561
2015	F	25-29	3	3	5	36467	165635	173561
2015	F	25-29	3	3	4	36467	165635	173561
2015	F	25-29	3	3	1	52433	187234	186618
2015	F	25-29	2	1	2	36467	165635	173561
2015	F	25-29	2	1	3	36467	165635	173561
