country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
NO	2015	F	15	0	0	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	0	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	0	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	0	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	0	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	0	3	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	3	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	3	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	3	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	3	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	0	1	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	1	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	1	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	1	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	1	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	0	2	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	2	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	2	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	2	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	0	2	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	3	0	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	0	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	0	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	0	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	0	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	3	3	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	3	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	3	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	3	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	3	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	3	1	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	1	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	1	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	1	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	1	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	3	2	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	2	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	2	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	2	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	3	2	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	2	0	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	0	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	0	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	0	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	0	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	2	3	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	3	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	3	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	3	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	3	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	2	1	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	1	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	1	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	1	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	1	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	2	2	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	2	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	2	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	2	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	2	2	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	1	0	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	0	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	0	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	0	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	0	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	1	3	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	3	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	3	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	3	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	3	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	1	1	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	1	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	1	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	1	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	1	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	15	1	2	1	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	2	2	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	2	4	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	2	L_oconv	42733	17373	0	354	893	0	3158	0	0
NO	2015	F	15	1	2	0	104529	30395	6002	4150	1328	169	9468	1684	406
NO	2015	F	20	0	0	1	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	0	2	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	0	4	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	0	L_oconv	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	0	0	45718	62455	32600	3210	5412	2089	6426	6928	2630
NO	2015	F	20	0	3	1	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	3	2	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	3	4	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	3	L_oconv	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	3	0	45718	62455	32600	3210	5412	2089	6426	6928	2630
NO	2015	F	20	0	1	1	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	1	2	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	1	4	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	1	L_oconv	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	1	0	45718	62455	32600	3210	5412	2089	6426	6928	2630
NO	2015	F	20	0	2	1	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	2	2	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	2	4	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	2	L_oconv	27900	42368	27086	1087	3402	2089	3657	3829	2287
NO	2015	F	20	0	2	0	45718	62455	32600	3210	5412	2089	6426	6928	2630
