year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	42733	17373	0
2015	F	15-19	1	1	3	42733	17373	0
2015	F	15-19	1	1	5	42733	17373	0
2015	F	15-19	1	1	4	42733	17373	0
2015	F	15-19	1	1	1	104529	30395	6002
2015	F	15-19	1	4	2	42733	17373	0
2015	F	15-19	1	4	3	42733	17373	0
2015	F	15-19	1	4	5	42733	17373	0
2015	F	15-19	1	4	4	42733	17373	0
2015	F	15-19	1	4	1	104529	30395	6002
2015	F	15-19	1	2	2	42733	17373	0
2015	F	15-19	1	2	3	42733	17373	0
2015	F	15-19	1	2	5	42733	17373	0
2015	F	15-19	1	2	4	42733	17373	0
2015	F	15-19	1	2	1	104529	30395	6002
2015	F	15-19	1	3	2	42733	17373	0
2015	F	15-19	1	3	3	42733	17373	0
2015	F	15-19	1	3	5	42733	17373	0
2015	F	15-19	1	3	4	42733	17373	0
2015	F	15-19	1	3	1	104529	30395	6002
2015	F	15-19	4	1	2	42733	17373	0
2015	F	15-19	4	1	3	42733	17373	0
2015	F	15-19	4	1	5	42733	17373	0
2015	F	15-19	4	1	4	42733	17373	0
2015	F	15-19	4	1	1	104529	30395	6002
2015	F	15-19	4	4	2	42733	17373	0
2015	F	15-19	4	4	3	42733	17373	0
2015	F	15-19	4	4	5	42733	17373	0
2015	F	15-19	4	4	4	42733	17373	0
2015	F	15-19	4	4	1	104529	30395	6002
2015	F	15-19	4	2	2	42733	17373	0
2015	F	15-19	4	2	3	42733	17373	0
2015	F	15-19	4	2	5	42733	17373	0
2015	F	15-19	4	2	4	42733	17373	0
2015	F	15-19	4	2	1	104529	30395	6002
2015	F	15-19	4	3	2	42733	17373	0
2015	F	15-19	4	3	3	42733	17373	0
2015	F	15-19	4	3	5	42733	17373	0
2015	F	15-19	4	3	4	42733	17373	0
2015	F	15-19	4	3	1	104529	30395	6002
2015	F	15-19	3	1	2	42733	17373	0
2015	F	15-19	3	1	3	42733	17373	0
2015	F	15-19	3	1	5	42733	17373	0
2015	F	15-19	3	1	4	42733	17373	0
2015	F	15-19	3	1	1	104529	30395	6002
2015	F	15-19	3	4	2	42733	17373	0
2015	F	15-19	3	4	3	42733	17373	0
2015	F	15-19	3	4	5	42733	17373	0
2015	F	15-19	3	4	4	42733	17373	0
2015	F	15-19	3	4	1	104529	30395	6002
2015	F	15-19	3	2	2	42733	17373	0
2015	F	15-19	3	2	3	42733	17373	0
2015	F	15-19	3	2	5	42733	17373	0
2015	F	15-19	3	2	4	42733	17373	0
2015	F	15-19	3	2	1	104529	30395	6002
2015	F	15-19	3	3	2	42733	17373	0
2015	F	15-19	3	3	3	42733	17373	0
2015	F	15-19	3	3	5	42733	17373	0
2015	F	15-19	3	3	4	42733	17373	0
2015	F	15-19	3	3	1	104529	30395	6002
2015	F	15-19	2	1	2	42733	17373	0
2015	F	15-19	2	1	3	42733	17373	0
2015	F	15-19	2	1	5	42733	17373	0
2015	F	15-19	2	1	4	42733	17373	0
2015	F	15-19	2	1	1	104529	30395	6002
2015	F	15-19	2	4	2	42733	17373	0
2015	F	15-19	2	4	3	42733	17373	0
2015	F	15-19	2	4	5	42733	17373	0
2015	F	15-19	2	4	4	42733	17373	0
2015	F	15-19	2	4	1	104529	30395	6002
2015	F	15-19	2	2	2	42733	17373	0
2015	F	15-19	2	2	3	42733	17373	0
2015	F	15-19	2	2	5	42733	17373	0
2015	F	15-19	2	2	4	42733	17373	0
2015	F	15-19	2	2	1	104529	30395	6002
2015	F	15-19	2	3	2	42733	17373	0
2015	F	15-19	2	3	3	42733	17373	0
2015	F	15-19	2	3	5	42733	17373	0
2015	F	15-19	2	3	4	42733	17373	0
2015	F	15-19	2	3	1	104529	30395	6002
2015	F	20-24	1	1	2	27900	42368	27086
2015	F	20-24	1	1	3	27900	42368	27086
2015	F	20-24	1	1	5	27900	42368	27086
2015	F	20-24	1	1	4	27900	42368	27086
2015	F	20-24	1	1	1	45718	62455	32600
2015	F	20-24	1	4	2	27900	42368	27086
2015	F	20-24	1	4	3	27900	42368	27086
2015	F	20-24	1	4	5	27900	42368	27086
2015	F	20-24	1	4	4	27900	42368	27086
2015	F	20-24	1	4	1	45718	62455	32600
2015	F	20-24	1	2	2	27900	42368	27086
2015	F	20-24	1	2	3	27900	42368	27086
2015	F	20-24	1	2	5	27900	42368	27086
2015	F	20-24	1	2	4	27900	42368	27086
2015	F	20-24	1	2	1	45718	62455	32600
2015	F	20-24	1	3	2	27900	42368	27086
2015	F	20-24	1	3	3	27900	42368	27086
2015	F	20-24	1	3	5	27900	42368	27086
2015	F	20-24	1	3	4	27900	42368	27086
2015	F	20-24	1	3	1	45718	62455	32600
2015	F	20-24	4	1	2	27900	42368	27086
2015	F	20-24	4	1	3	27900	42368	27086
2015	F	20-24	4	1	5	27900	42368	27086
2015	F	20-24	4	1	4	27900	42368	27086
2015	F	20-24	4	1	1	45718	62455	32600
2015	F	20-24	4	4	2	27900	42368	27086
2015	F	20-24	4	4	3	27900	42368	27086
2015	F	20-24	4	4	5	27900	42368	27086
2015	F	20-24	4	4	4	27900	42368	27086
2015	F	20-24	4	4	1	45718	62455	32600
2015	F	20-24	4	2	2	27900	42368	27086
2015	F	20-24	4	2	3	27900	42368	27086
2015	F	20-24	4	2	5	27900	42368	27086
2015	F	20-24	4	2	4	27900	42368	27086
2015	F	20-24	4	2	1	45718	62455	32600
2015	F	20-24	4	3	2	27900	42368	27086
2015	F	20-24	4	3	3	27900	42368	27086
2015	F	20-24	4	3	5	27900	42368	27086
2015	F	20-24	4	3	4	27900	42368	27086
2015	F	20-24	4	3	1	45718	62455	32600
2015	F	20-24	3	1	2	27900	42368	27086
2015	F	20-24	3	1	3	27900	42368	27086
2015	F	20-24	3	1	5	27900	42368	27086
2015	F	20-24	3	1	4	27900	42368	27086
2015	F	20-24	3	1	1	45718	62455	32600
2015	F	20-24	3	4	2	27900	42368	27086
2015	F	20-24	3	4	3	27900	42368	27086
2015	F	20-24	3	4	5	27900	42368	27086
2015	F	20-24	3	4	4	27900	42368	27086
2015	F	20-24	3	4	1	45718	62455	32600
2015	F	20-24	3	2	2	27900	42368	27086
2015	F	20-24	3	2	3	27900	42368	27086
2015	F	20-24	3	2	5	27900	42368	27086
2015	F	20-24	3	2	4	27900	42368	27086
2015	F	20-24	3	2	1	45718	62455	32600
2015	F	20-24	3	3	2	27900	42368	27086
2015	F	20-24	3	3	3	27900	42368	27086
2015	F	20-24	3	3	5	27900	42368	27086
2015	F	20-24	3	3	4	27900	42368	27086
2015	F	20-24	3	3	1	45718	62455	32600
2015	F	20-24	2	1	2	27900	42368	27086
2015	F	20-24	2	1	3	27900	42368	27086
2015	F	20-24	2	1	5	27900	42368	27086
2015	F	20-24	2	1	4	27900	42368	27086
2015	F	20-24	2	1	1	45718	62455	32600
2015	F	20-24	2	4	2	27900	42368	27086
2015	F	20-24	2	4	3	27900	42368	27086
2015	F	20-24	2	4	5	27900	42368	27086
2015	F	20-24	2	4	4	27900	42368	27086
2015	F	20-24	2	4	1	45718	62455	32600
2015	F	20-24	2	2	2	27900	42368	27086
2015	F	20-24	2	2	3	27900	42368	27086
2015	F	20-24	2	2	5	27900	42368	27086
2015	F	20-24	2	2	4	27900	42368	27086
2015	F	20-24	2	2	1	45718	62455	32600
2015	F	20-24	2	3	2	27900	42368	27086
2015	F	20-24	2	3	3	27900	42368	27086
2015	F	20-24	2	3	5	27900	42368	27086
2015	F	20-24	2	3	4	27900	42368	27086
2015	F	20-24	2	3	1	45718	62455	32600
2015	F	25-29	1	1	2	12303	35942	55384
2015	F	25-29	1	1	3	12303	35942	55384
2015	F	25-29	1	1	5	12303	35942	55384
2015	F	25-29	1	1	4	12303	35942	55384
2015	F	25-29	1	1	1	19730	44963	63482
2015	F	25-29	1	4	2	12303	35942	55384
2015	F	25-29	1	4	3	12303	35942	55384
2015	F	25-29	1	4	5	12303	35942	55384
2015	F	25-29	1	4	4	12303	35942	55384
2015	F	25-29	1	4	1	19730	44963	63482
2015	F	25-29	1	2	2	12303	35942	55384
2015	F	25-29	1	2	3	12303	35942	55384
2015	F	25-29	1	2	5	12303	35942	55384
2015	F	25-29	1	2	4	12303	35942	55384
2015	F	25-29	1	2	1	19730	44963	63482
2015	F	25-29	1	3	2	12303	35942	55384
2015	F	25-29	1	3	3	12303	35942	55384
2015	F	25-29	1	3	5	12303	35942	55384
2015	F	25-29	1	3	4	12303	35942	55384
2015	F	25-29	1	3	1	19730	44963	63482
2015	F	25-29	4	1	2	12303	35942	55384
2015	F	25-29	4	1	3	12303	35942	55384
2015	F	25-29	4	1	5	12303	35942	55384
2015	F	25-29	4	1	4	12303	35942	55384
2015	F	25-29	4	1	1	19730	44963	63482
2015	F	25-29	4	4	2	12303	35942	55384
2015	F	25-29	4	4	3	12303	35942	55384
2015	F	25-29	4	4	5	12303	35942	55384
2015	F	25-29	4	4	4	12303	35942	55384
2015	F	25-29	4	4	1	19730	44963	63482
2015	F	25-29	4	2	2	12303	35942	55384
2015	F	25-29	4	2	3	12303	35942	55384
2015	F	25-29	4	2	5	12303	35942	55384
2015	F	25-29	4	2	4	12303	35942	55384
2015	F	25-29	4	2	1	19730	44963	63482
2015	F	25-29	4	3	2	12303	35942	55384
2015	F	25-29	4	3	3	12303	35942	55384
2015	F	25-29	4	3	5	12303	35942	55384
2015	F	25-29	4	3	4	12303	35942	55384
2015	F	25-29	4	3	1	19730	44963	63482
2015	F	25-29	3	1	2	12303	35942	55384
2015	F	25-29	3	1	3	12303	35942	55384
2015	F	25-29	3	1	5	12303	35942	55384
2015	F	25-29	3	1	4	12303	35942	55384
2015	F	25-29	3	1	1	19730	44963	63482
2015	F	25-29	3	4	2	12303	35942	55384
2015	F	25-29	3	4	3	12303	35942	55384
2015	F	25-29	3	4	5	12303	35942	55384
2015	F	25-29	3	4	4	12303	35942	55384
2015	F	25-29	3	4	1	19730	44963	63482
2015	F	25-29	3	2	2	12303	35942	55384
2015	F	25-29	3	2	3	12303	35942	55384
2015	F	25-29	3	2	5	12303	35942	55384
2015	F	25-29	3	2	4	12303	35942	55384
