country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
PL	2015	F	15	0	0	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	0	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	0	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	0	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	0	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	0	3	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	3	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	3	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	3	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	3	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	0	1	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	1	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	1	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	1	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	1	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	0	2	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	2	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	2	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	2	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	0	2	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	3	0	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	0	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	0	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	0	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	0	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	3	3	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	3	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	3	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	3	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	3	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	3	1	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	1	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	1	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	1	L_oconv	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	1	0	677530	272251	40935	1860	1161	73	1337	1674	153
PL	2015	F	15	3	2	1	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	2	2	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	2	4	11101	54270	0	0	0	0	0	201	0
PL	2015	F	15	3	2	L_oconv	11101	54270	0	0	0	0	0	201	0
