year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	55893	46118	0
2015	F	15-19	1	1	3	55893	46118	0
2015	F	15-19	1	1	5	55893	46118	0
2015	F	15-19	1	1	4	55893	46118	0
2015	F	15-19	1	1	1	156534	60204	8877
2015	F	15-19	1	4	2	55893	46118	0
2015	F	15-19	1	4	3	55893	46118	0
2015	F	15-19	1	4	5	55893	46118	0
2015	F	15-19	1	4	4	55893	46118	0
2015	F	15-19	1	4	1	156534	60204	8877
2015	F	15-19	1	2	2	55893	46118	0
2015	F	15-19	1	2	3	55893	46118	0
2015	F	15-19	1	2	5	55893	46118	0
2015	F	15-19	1	2	4	55893	46118	0
2015	F	15-19	1	2	1	156534	60204	8877
2015	F	15-19	1	3	2	55893	46118	0
2015	F	15-19	1	3	3	55893	46118	0
2015	F	15-19	1	3	5	55893	46118	0
2015	F	15-19	1	3	4	55893	46118	0
2015	F	15-19	1	3	1	156534	60204	8877
2015	F	15-19	4	1	2	55893	46118	0
2015	F	15-19	4	1	3	55893	46118	0
2015	F	15-19	4	1	5	55893	46118	0
2015	F	15-19	4	1	4	55893	46118	0
2015	F	15-19	4	1	1	156534	60204	8877
2015	F	15-19	4	4	2	55893	46118	0
2015	F	15-19	4	4	3	55893	46118	0
2015	F	15-19	4	4	5	55893	46118	0
2015	F	15-19	4	4	4	55893	46118	0
2015	F	15-19	4	4	1	156534	60204	8877
2015	F	15-19	4	2	2	55893	46118	0
2015	F	15-19	4	2	3	55893	46118	0
2015	F	15-19	4	2	5	55893	46118	0
2015	F	15-19	4	2	4	55893	46118	0
2015	F	15-19	4	2	1	156534	60204	8877
2015	F	15-19	4	3	2	55893	46118	0
2015	F	15-19	4	3	3	55893	46118	0
2015	F	15-19	4	3	5	55893	46118	0
2015	F	15-19	4	3	4	55893	46118	0
2015	F	15-19	4	3	1	156534	60204	8877
2015	F	15-19	3	1	2	55893	46118	0
2015	F	15-19	3	1	3	55893	46118	0
2015	F	15-19	3	1	5	55893	46118	0
2015	F	15-19	3	1	4	55893	46118	0
2015	F	15-19	3	1	1	156534	60204	8877
2015	F	15-19	3	4	2	55893	46118	0
2015	F	15-19	3	4	3	55893	46118	0
2015	F	15-19	3	4	5	55893	46118	0
2015	F	15-19	3	4	4	55893	46118	0
2015	F	15-19	3	4	1	156534	60204	8877
2015	F	15-19	3	2	2	55893	46118	0
2015	F	15-19	3	2	3	55893	46118	0
2015	F	15-19	3	2	5	55893	46118	0
2015	F	15-19	3	2	4	55893	46118	0
2015	F	15-19	3	2	1	156534	60204	8877
2015	F	15-19	3	3	2	55893	46118	0
2015	F	15-19	3	3	3	55893	46118	0
2015	F	15-19	3	3	5	55893	46118	0
2015	F	15-19	3	3	4	55893	46118	0
2015	F	15-19	3	3	1	156534	60204	8877
2015	F	15-19	2	1	2	55893	46118	0
2015	F	15-19	2	1	3	55893	46118	0
2015	F	15-19	2	1	5	55893	46118	0
2015	F	15-19	2	1	4	55893	46118	0
2015	F	15-19	2	1	1	156534	60204	8877
2015	F	15-19	2	4	2	55893	46118	0
2015	F	15-19	2	4	3	55893	46118	0
2015	F	15-19	2	4	5	55893	46118	0
2015	F	15-19	2	4	4	55893	46118	0
2015	F	15-19	2	4	1	156534	60204	8877
2015	F	15-19	2	2	2	55893	46118	0
2015	F	15-19	2	2	3	55893	46118	0
2015	F	15-19	2	2	5	55893	46118	0
2015	F	15-19	2	2	4	55893	46118	0
2015	F	15-19	2	2	1	156534	60204	8877
2015	F	15-19	2	3	2	55893	46118	0
2015	F	15-19	2	3	3	55893	46118	0
2015	F	15-19	2	3	5	55893	46118	0
2015	F	15-19	2	3	4	55893	46118	0
2015	F	15-19	2	3	1	156534	60204	8877
2015	F	20-24	1	1	2	37474	115230	41052
2015	F	20-24	1	1	3	37474	115230	41052
2015	F	20-24	1	1	5	37474	115230	41052
2015	F	20-24	1	1	4	37474	115230	41052
2015	F	20-24	1	1	1	60864	154994	57274
2015	F	20-24	1	4	2	37474	115230	41052
2015	F	20-24	1	4	3	37474	115230	41052
2015	F	20-24	1	4	5	37474	115230	41052
2015	F	20-24	1	4	4	37474	115230	41052
2015	F	20-24	1	4	1	60864	154994	57274
2015	F	20-24	1	2	2	37474	115230	41052
2015	F	20-24	1	2	3	37474	115230	41052
2015	F	20-24	1	2	5	37474	115230	41052
2015	F	20-24	1	2	4	37474	115230	41052
2015	F	20-24	1	2	1	60864	154994	57274
2015	F	20-24	1	3	2	37474	115230	41052
2015	F	20-24	1	3	3	37474	115230	41052
2015	F	20-24	1	3	5	37474	115230	41052
2015	F	20-24	1	3	4	37474	115230	41052
2015	F	20-24	1	3	1	60864	154994	57274
2015	F	20-24	4	1	2	37474	115230	41052
2015	F	20-24	4	1	3	37474	115230	41052
2015	F	20-24	4	1	5	37474	115230	41052
2015	F	20-24	4	1	4	37474	115230	41052
2015	F	20-24	4	1	1	60864	154994	57274
2015	F	20-24	4	4	2	37474	115230	41052
2015	F	20-24	4	4	3	37474	115230	41052
2015	F	20-24	4	4	5	37474	115230	41052
2015	F	20-24	4	4	4	37474	115230	41052
2015	F	20-24	4	4	1	60864	154994	57274
2015	F	20-24	4	2	2	37474	115230	41052
2015	F	20-24	4	2	3	37474	115230	41052
2015	F	20-24	4	2	5	37474	115230	41052
2015	F	20-24	4	2	4	37474	115230	41052
2015	F	20-24	4	2	1	60864	154994	57274
2015	F	20-24	4	3	2	37474	115230	41052
2015	F	20-24	4	3	3	37474	115230	41052
2015	F	20-24	4	3	5	37474	115230	41052
2015	F	20-24	4	3	4	37474	115230	41052
2015	F	20-24	4	3	1	60864	154994	57274
2015	F	20-24	3	1	2	37474	115230	41052
2015	F	20-24	3	1	3	37474	115230	41052
2015	F	20-24	3	1	5	37474	115230	41052
2015	F	20-24	3	1	4	37474	115230	41052
2015	F	20-24	3	1	1	60864	154994	57274
2015	F	20-24	3	4	2	37474	115230	41052
2015	F	20-24	3	4	3	37474	115230	41052
2015	F	20-24	3	4	5	37474	115230	41052
2015	F	20-24	3	4	4	37474	115230	41052
2015	F	20-24	3	4	1	60864	154994	57274
2015	F	20-24	3	2	2	37474	115230	41052
2015	F	20-24	3	2	3	37474	115230	41052
2015	F	20-24	3	2	5	37474	115230	41052
2015	F	20-24	3	2	4	37474	115230	41052
2015	F	20-24	3	2	1	60864	154994	57274
2015	F	20-24	3	3	2	37474	115230	41052
2015	F	20-24	3	3	3	37474	115230	41052
2015	F	20-24	3	3	5	37474	115230	41052
2015	F	20-24	3	3	4	37474	115230	41052
2015	F	20-24	3	3	1	60864	154994	57274
2015	F	20-24	2	1	2	37474	115230	41052
2015	F	20-24	2	1	3	37474	115230	41052
2015	F	20-24	2	1	5	37474	115230	41052
2015	F	20-24	2	1	4	37474	115230	41052
2015	F	20-24	2	1	1	60864	154994	57274
2015	F	20-24	2	4	2	37474	115230	41052
2015	F	20-24	2	4	3	37474	115230	41052
2015	F	20-24	2	4	5	37474	115230	41052
2015	F	20-24	2	4	4	37474	115230	41052
2015	F	20-24	2	4	1	60864	154994	57274
2015	F	20-24	2	2	2	37474	115230	41052
2015	F	20-24	2	2	3	37474	115230	41052
2015	F	20-24	2	2	5	37474	115230	41052
2015	F	20-24	2	2	4	37474	115230	41052
2015	F	20-24	2	2	1	60864	154994	57274
2015	F	20-24	2	3	2	37474	115230	41052
2015	F	20-24	2	3	3	37474	115230	41052
2015	F	20-24	2	3	5	37474	115230	41052
2015	F	20-24	2	3	4	37474	115230	41052
2015	F	20-24	2	3	1	60864	154994	57274
2015	F	25-29	1	1	2	11723	100004	99364
2015	F	25-29	1	1	3	11723	100004	99364
2015	F	25-29	1	1	5	11723	100004	99364
2015	F	25-29	1	1	4	11723	100004	99364
2015	F	25-29	1	1	1	16170	119217	110889
2015	F	25-29	1	4	2	11723	100004	99364
2015	F	25-29	1	4	3	11723	100004	99364
2015	F	25-29	1	4	5	11723	100004	99364
2015	F	25-29	1	4	4	11723	100004	99364
2015	F	25-29	1	4	1	16170	119217	110889
2015	F	25-29	1	2	2	11723	100004	99364
2015	F	25-29	1	2	3	11723	100004	99364
2015	F	25-29	1	2	5	11723	100004	99364
2015	F	25-29	1	2	4	11723	100004	99364
2015	F	25-29	1	2	1	16170	119217	110889
2015	F	25-29	1	3	2	11723	100004	99364
2015	F	25-29	1	3	3	11723	100004	99364
2015	F	25-29	1	3	5	11723	100004	99364
2015	F	25-29	1	3	4	11723	100004	99364
2015	F	25-29	1	3	1	16170	119217	110889
2015	F	25-29	4	1	2	11723	100004	99364
2015	F	25-29	4	1	3	11723	100004	99364
2015	F	25-29	4	1	5	11723	100004	99364
2015	F	25-29	4	1	4	11723	100004	99364
2015	F	25-29	4	1	1	16170	119217	110889
2015	F	25-29	4	4	2	11723	100004	99364
2015	F	25-29	4	4	3	11723	100004	99364
2015	F	25-29	4	4	5	11723	100004	99364
2015	F	25-29	4	4	4	11723	100004	99364
2015	F	25-29	4	4	1	16170	119217	110889
2015	F	25-29	4	2	2	11723	100004	99364
2015	F	25-29	4	2	3	11723	100004	99364
