country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
SI	2015	F	15	0	0	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	0	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	0	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	0	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	0	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	0	3	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	3	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	3	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	3	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	3	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	0	1	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	1	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	1	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	1	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	1	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	0	2	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	2	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	2	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	2	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	0	2	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	3	0	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	0	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	0	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	0	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	0	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	3	3	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	3	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	3	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	3	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	3	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	3	1	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	1	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	1	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	1	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	1	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	3	2	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	2	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	2	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	2	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	3	2	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	2	0	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	0	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	0	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	0	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	0	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	2	3	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	3	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	3	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	3	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	3	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	2	1	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	1	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	1	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	1	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	1	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	2	2	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	2	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	2	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	2	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	2	2	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	1	0	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	0	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	0	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	0	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	0	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	1	3	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	3	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	3	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	3	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	3	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	1	1	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	1	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	1	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	1	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	1	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	15	1	2	1	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	2	2	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	2	4	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	2	3	2156	4955	0	28	0	0	46	280	0
SI	2015	F	15	1	2	0	28200	14225	1258	160	46	0	1715	797	15
SI	2015	F	20	0	0	1	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	0	2	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	0	4	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	0	3	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	0	0	8931	31012	9011	87	174	13	1151	2223	265
SI	2015	F	20	0	3	1	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	3	2	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	3	4	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	3	3	4408	14593	4203	87	94	0	452	1241	106
SI	2015	F	20	0	3	0	8931	31012	9011	87	174	13	1151	2223	265
SI	2015	F	20	0	1	1	4408	14593	4203	87	94	0	452	1241	106
