year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	15-19	1	1	2	99194	477391	95320
2015	F	15-19	1	1	3	99194	477391	95320
2015	F	15-19	1	1	5	99194	477391	95320
2015	F	15-19	1	1	4	99194	477391	95320
2015	F	15-19	1	1	1	590396	961849	127811
2015	F	15-19	1	4	2	99194	477391	95320
2015	F	15-19	1	4	3	99194	477391	95320
2015	F	15-19	1	4	5	99194	477391	95320
2015	F	15-19	1	4	4	99194	477391	95320
2015	F	15-19	1	4	1	590396	961849	127811
2015	F	15-19	1	2	2	99194	477391	95320
2015	F	15-19	1	2	3	99194	477391	95320
2015	F	15-19	1	2	5	99194	477391	95320
2015	F	15-19	1	2	4	99194	477391	95320
2015	F	15-19	1	2	1	590396	961849	127811
2015	F	15-19	1	3	2	99194	477391	95320
2015	F	15-19	1	3	3	99194	477391	95320
2015	F	15-19	1	3	5	99194	477391	95320
2015	F	15-19	1	3	4	99194	477391	95320
2015	F	15-19	1	3	1	590396	961849	127811
2015	F	15-19	4	1	2	99194	477391	95320
2015	F	15-19	4	1	3	99194	477391	95320
2015	F	15-19	4	1	5	99194	477391	95320
2015	F	15-19	4	1	4	99194	477391	95320
2015	F	15-19	4	1	1	590396	961849	127811
2015	F	15-19	4	4	2	99194	477391	95320
2015	F	15-19	4	4	3	99194	477391	95320
2015	F	15-19	4	4	5	99194	477391	95320
2015	F	15-19	4	4	4	99194	477391	95320
2015	F	15-19	4	4	1	590396	961849	127811
2015	F	15-19	4	2	2	99194	477391	95320
2015	F	15-19	4	2	3	99194	477391	95320
2015	F	15-19	4	2	5	99194	477391	95320
2015	F	15-19	4	2	4	99194	477391	95320
2015	F	15-19	4	2	1	590396	961849	127811
2015	F	15-19	4	3	2	99194	477391	95320
2015	F	15-19	4	3	3	99194	477391	95320
2015	F	15-19	4	3	5	99194	477391	95320
2015	F	15-19	4	3	4	99194	477391	95320
2015	F	15-19	4	3	1	590396	961849	127811
2015	F	15-19	3	1	2	99194	477391	95320
2015	F	15-19	3	1	3	99194	477391	95320
2015	F	15-19	3	1	5	99194	477391	95320
2015	F	15-19	3	1	4	99194	477391	95320
2015	F	15-19	3	1	1	590396	961849	127811
2015	F	15-19	3	4	2	99194	477391	95320
2015	F	15-19	3	4	3	99194	477391	95320
2015	F	15-19	3	4	5	99194	477391	95320
2015	F	15-19	3	4	4	99194	477391	95320
2015	F	15-19	3	4	1	590396	961849	127811
2015	F	15-19	3	2	2	99194	477391	95320
2015	F	15-19	3	2	3	99194	477391	95320
2015	F	15-19	3	2	5	99194	477391	95320
2015	F	15-19	3	2	4	99194	477391	95320
2015	F	15-19	3	2	1	590396	961849	127811
2015	F	15-19	3	3	2	99194	477391	95320
2015	F	15-19	3	3	3	99194	477391	95320
2015	F	15-19	3	3	5	99194	477391	95320
2015	F	15-19	3	3	4	99194	477391	95320
2015	F	15-19	3	3	1	590396	961849	127811
2015	F	15-19	2	1	2	99194	477391	95320
2015	F	15-19	2	1	3	99194	477391	95320
2015	F	15-19	2	1	5	99194	477391	95320
2015	F	15-19	2	1	4	99194	477391	95320
2015	F	15-19	2	1	1	590396	961849	127811
2015	F	15-19	2	4	2	99194	477391	95320
2015	F	15-19	2	4	3	99194	477391	95320
2015	F	15-19	2	4	5	99194	477391	95320
2015	F	15-19	2	4	4	99194	477391	95320
2015	F	15-19	2	4	1	590396	961849	127811
2015	F	15-19	2	2	2	99194	477391	95320
2015	F	15-19	2	2	3	99194	477391	95320
2015	F	15-19	2	2	5	99194	477391	95320
2015	F	15-19	2	2	4	99194	477391	95320
2015	F	15-19	2	2	1	590396	961849	127811
2015	F	15-19	2	3	2	99194	477391	95320
2015	F	15-19	2	3	3	99194	477391	95320
2015	F	15-19	2	3	5	99194	477391	95320
2015	F	15-19	2	3	4	99194	477391	95320
2015	F	15-19	2	3	1	590396	961849	127811
2015	F	20-24	1	1	2	194756	692337	441150
2015	F	20-24	1	1	3	194756	692337	441150
2015	F	20-24	1	1	5	194756	692337	441150
2015	F	20-24	1	1	4	194756	692337	441150
2015	F	20-24	1	1	1	346103	942233	499323
2015	F	20-24	1	4	2	194756	692337	441150
2015	F	20-24	1	4	3	194756	692337	441150
2015	F	20-24	1	4	5	194756	692337	441150
2015	F	20-24	1	4	4	194756	692337	441150
2015	F	20-24	1	4	1	346103	942233	499323
2015	F	20-24	1	2	2	194756	692337	441150
2015	F	20-24	1	2	3	194756	692337	441150
2015	F	20-24	1	2	5	194756	692337	441150
2015	F	20-24	1	2	4	194756	692337	441150
2015	F	20-24	1	2	1	346103	942233	499323
2015	F	20-24	1	3	2	194756	692337	441150
2015	F	20-24	1	3	3	194756	692337	441150
2015	F	20-24	1	3	5	194756	692337	441150
2015	F	20-24	1	3	4	194756	692337	441150
2015	F	20-24	1	3	1	346103	942233	499323
2015	F	20-24	4	1	2	194756	692337	441150
2015	F	20-24	4	1	3	194756	692337	441150
2015	F	20-24	4	1	5	194756	692337	441150
2015	F	20-24	4	1	4	194756	692337	441150
2015	F	20-24	4	1	1	346103	942233	499323
2015	F	20-24	4	4	2	194756	692337	441150
2015	F	20-24	4	4	3	194756	692337	441150
2015	F	20-24	4	4	5	194756	692337	441150
2015	F	20-24	4	4	4	194756	692337	441150
2015	F	20-24	4	4	1	346103	942233	499323
2015	F	20-24	4	2	2	194756	692337	441150
2015	F	20-24	4	2	3	194756	692337	441150
2015	F	20-24	4	2	5	194756	692337	441150
2015	F	20-24	4	2	4	194756	692337	441150
2015	F	20-24	4	2	1	346103	942233	499323
2015	F	20-24	4	3	2	194756	692337	441150
2015	F	20-24	4	3	3	194756	692337	441150
2015	F	20-24	4	3	5	194756	692337	441150
2015	F	20-24	4	3	4	194756	692337	441150
2015	F	20-24	4	3	1	346103	942233	499323
2015	F	20-24	3	1	2	194756	692337	441150
2015	F	20-24	3	1	3	194756	692337	441150
2015	F	20-24	3	1	5	194756	692337	441150
2015	F	20-24	3	1	4	194756	692337	441150
2015	F	20-24	3	1	1	346103	942233	499323
2015	F	20-24	3	4	2	194756	692337	441150
2015	F	20-24	3	4	3	194756	692337	441150
2015	F	20-24	3	4	5	194756	692337	441150
2015	F	20-24	3	4	4	194756	692337	441150
2015	F	20-24	3	4	1	346103	942233	499323
2015	F	20-24	3	2	2	194756	692337	441150
2015	F	20-24	3	2	3	194756	692337	441150
2015	F	20-24	3	2	5	194756	692337	441150
2015	F	20-24	3	2	4	194756	692337	441150
2015	F	20-24	3	2	1	346103	942233	499323
2015	F	20-24	3	3	2	194756	692337	441150
2015	F	20-24	3	3	3	194756	692337	441150
2015	F	20-24	3	3	5	194756	692337	441150
2015	F	20-24	3	3	4	194756	692337	441150
2015	F	20-24	3	3	1	346103	942233	499323
2015	F	20-24	2	1	2	194756	692337	441150
2015	F	20-24	2	1	3	194756	692337	441150
2015	F	20-24	2	1	5	194756	692337	441150
2015	F	20-24	2	1	4	194756	692337	441150
2015	F	20-24	2	1	1	346103	942233	499323
2015	F	20-24	2	4	2	194756	692337	441150
2015	F	20-24	2	4	3	194756	692337	441150
2015	F	20-24	2	4	5	194756	692337	441150
2015	F	20-24	2	4	4	194756	692337	441150
2015	F	20-24	2	4	1	346103	942233	499323
2015	F	20-24	2	2	2	194756	692337	441150
2015	F	20-24	2	2	3	194756	692337	441150
2015	F	20-24	2	2	5	194756	692337	441150
2015	F	20-24	2	2	4	194756	692337	441150
2015	F	20-24	2	2	1	346103	942233	499323
2015	F	20-24	2	3	2	194756	692337	441150
2015	F	20-24	2	3	3	194756	692337	441150
2015	F	20-24	2	3	5	194756	692337	441150
2015	F	20-24	2	3	4	194756	692337	441150
2015	F	20-24	2	3	1	346103	942233	499323
2015	F	25-29	1	1	2	120964	558064	695244
2015	F	25-29	1	1	3	120964	558064	695244
2015	F	25-29	1	1	5	120964	558064	695244
2015	F	25-29	1	1	4	120964	558064	695244
2015	F	25-29	1	1	1	249510	712622	748305
2015	F	25-29	1	4	2	120964	558064	695244
2015	F	25-29	1	4	3	120964	558064	695244
2015	F	25-29	1	4	5	120964	558064	695244
2015	F	25-29	1	4	4	120964	558064	695244
2015	F	25-29	1	4	1	249510	712622	748305
2015	F	25-29	1	2	2	120964	558064	695244
2015	F	25-29	1	2	3	120964	558064	695244
2015	F	25-29	1	2	5	120964	558064	695244
2015	F	25-29	1	2	4	120964	558064	695244
2015	F	25-29	1	2	1	249510	712622	748305
2015	F	25-29	1	3	2	120964	558064	695244
2015	F	25-29	1	3	3	120964	558064	695244
2015	F	25-29	1	3	5	120964	558064	695244
2015	F	25-29	1	3	4	120964	558064	695244
2015	F	25-29	1	3	1	249510	712622	748305
2015	F	25-29	4	1	2	120964	558064	695244
2015	F	25-29	4	1	3	120964	558064	695244
2015	F	25-29	4	1	5	120964	558064	695244
2015	F	25-29	4	1	4	120964	558064	695244
2015	F	25-29	4	1	1	249510	712622	748305
2015	F	25-29	4	4	2	120964	558064	695244
2015	F	25-29	4	4	3	120964	558064	695244
2015	F	25-29	4	4	5	120964	558064	695244
2015	F	25-29	4	4	4	120964	558064	695244
2015	F	25-29	4	4	1	249510	712622	748305
2015	F	25-29	4	2	2	120964	558064	695244
2015	F	25-29	4	2	3	120964	558064	695244
2015	F	25-29	4	2	5	120964	558064	695244
2015	F	25-29	4	2	4	120964	558064	695244
2015	F	25-29	4	2	1	249510	712622	748305
2015	F	25-29	4	3	2	120964	558064	695244
2015	F	25-29	4	3	3	120964	558064	695244
2015	F	25-29	4	3	5	120964	558064	695244
2015	F	25-29	4	3	4	120964	558064	695244
2015	F	25-29	4	3	1	249510	712622	748305
2015	F	25-29	3	1	2	120964	558064	695244
2015	F	25-29	3	1	3	120964	558064	695244
2015	F	25-29	3	1	5	120964	558064	695244
2015	F	25-29	3	1	4	120964	558064	695244
2015	F	25-29	3	1	1	249510	712622	748305
2015	F	25-29	3	4	2	120964	558064	695244
2015	F	25-29	3	4	3	120964	558064	695244
2015	F	25-29	3	4	5	120964	558064	695244
2015	F	25-29	3	4	4	120964	558064	695244
2015	F	25-29	3	4	1	249510	712622	748305
2015	F	25-29	3	2	2	120964	558064	695244
2015	F	25-29	3	2	3	120964	558064	695244
2015	F	25-29	3	2	5	120964	558064	695244
2015	F	25-29	3	2	4	120964	558064	695244
2015	F	25-29	3	2	1	249510	712622	748305
2015	F	25-29	3	3	2	120964	558064	695244
2015	F	25-29	3	3	3	120964	558064	695244
2015	F	25-29	3	3	5	120964	558064	695244
2015	F	25-29	3	3	4	120964	558064	695244
2015	F	25-29	3	3	1	249510	712622	748305
2015	F	25-29	2	1	2	120964	558064	695244
2015	F	25-29	2	1	3	120964	558064	695244
2015	F	25-29	2	1	5	120964	558064	695244
2015	F	25-29	2	1	4	120964	558064	695244
2015	F	25-29	2	1	1	249510	712622	748305
2015	F	25-29	2	4	2	120964	558064	695244
2015	F	25-29	2	4	3	120964	558064	695244
2015	F	25-29	2	4	5	120964	558064	695244
2015	F	25-29	2	4	4	120964	558064	695244
2015	F	25-29	2	4	1	249510	712622	748305
2015	F	25-29	2	2	2	120964	558064	695244
2015	F	25-29	2	2	3	120964	558064	695244
2015	F	25-29	2	2	5	120964	558064	695244
2015	F	25-29	2	2	4	120964	558064	695244
2015	F	25-29	2	2	1	249510	712622	748305
2015	F	25-29	2	3	2	120964	558064	695244
2015	F	25-29	2	3	3	120964	558064	695244
2015	F	25-29	2	3	5	120964	558064	695244
2015	F	25-29	2	3	4	120964	558064	695244
2015	F	25-29	2	3	1	249510	712622	748305
2015	F	30-34	1	1	2	129026	440925	726023
2015	F	30-34	1	1	3	129026	440925	726023
2015	F	30-34	1	1	5	129026	440925	726023
2015	F	30-34	1	1	4	129026	440925	726023
2015	F	30-34	1	1	1	238917	580517	785062
2015	F	30-34	1	4	2	129026	440925	726023
2015	F	30-34	1	4	3	129026	440925	726023
2015	F	30-34	1	4	5	129026	440925	726023
2015	F	30-34	1	4	4	129026	440925	726023
2015	F	30-34	1	4	1	238917	580517	785062
2015	F	30-34	1	2	2	129026	440925	726023
2015	F	30-34	1	2	3	129026	440925	726023
2015	F	30-34	1	2	5	129026	440925	726023
2015	F	30-34	1	2	4	129026	440925	726023
2015	F	30-34	1	2	1	238917	580517	785062
2015	F	30-34	1	3	2	129026	440925	726023
2015	F	30-34	1	3	3	129026	440925	726023
2015	F	30-34	1	3	5	129026	440925	726023
2015	F	30-34	1	3	4	129026	440925	726023
2015	F	30-34	1	3	1	238917	580517	785062
2015	F	30-34	4	1	2	129026	440925	726023
2015	F	30-34	4	1	3	129026	440925	726023
2015	F	30-34	4	1	5	129026	440925	726023
2015	F	30-34	4	1	4	129026	440925	726023
2015	F	30-34	4	1	1	238917	580517	785062
2015	F	30-34	4	4	2	129026	440925	726023
2015	F	30-34	4	4	3	129026	440925	726023
2015	F	30-34	4	4	5	129026	440925	726023
2015	F	30-34	4	4	4	129026	440925	726023
2015	F	30-34	4	4	1	238917	580517	785062
2015	F	30-34	4	2	2	129026	440925	726023
2015	F	30-34	4	2	3	129026	440925	726023
2015	F	30-34	4	2	5	129026	440925	726023
2015	F	30-34	4	2	4	129026	440925	726023
2015	F	30-34	4	2	1	238917	580517	785062
2015	F	30-34	4	3	2	129026	440925	726023
2015	F	30-34	4	3	3	129026	440925	726023
2015	F	30-34	4	3	5	129026	440925	726023
2015	F	30-34	4	3	4	129026	440925	726023
2015	F	30-34	4	3	1	238917	580517	785062
2015	F	30-34	3	1	2	129026	440925	726023
2015	F	30-34	3	1	3	129026	440925	726023
2015	F	30-34	3	1	5	129026	440925	726023
2015	F	30-34	3	1	4	129026	440925	726023
2015	F	30-34	3	1	1	238917	580517	785062
2015	F	30-34	3	4	2	129026	440925	726023
2015	F	30-34	3	4	3	129026	440925	726023
2015	F	30-34	3	4	5	129026	440925	726023
2015	F	30-34	3	4	4	129026	440925	726023
2015	F	30-34	3	4	1	238917	580517	785062
2015	F	30-34	3	2	2	129026	440925	726023
2015	F	30-34	3	2	3	129026	440925	726023
2015	F	30-34	3	2	5	129026	440925	726023
2015	F	30-34	3	2	4	129026	440925	726023
2015	F	30-34	3	2	1	238917	580517	785062
2015	F	30-34	3	3	2	129026	440925	726023
2015	F	30-34	3	3	3	129026	440925	726023
2015	F	30-34	3	3	5	129026	440925	726023
2015	F	30-34	3	3	4	129026	440925	726023
2015	F	30-34	3	3	1	238917	580517	785062
2015	F	30-34	2	1	2	129026	440925	726023
2015	F	30-34	2	1	3	129026	440925	726023
2015	F	30-34	2	1	5	129026	440925	726023
2015	F	30-34	2	1	4	129026	440925	726023
2015	F	30-34	2	1	1	238917	580517	785062
2015	F	30-34	2	4	2	129026	440925	726023
2015	F	30-34	2	4	3	129026	440925	726023
2015	F	30-34	2	4	5	129026	440925	726023
2015	F	30-34	2	4	4	129026	440925	726023
2015	F	30-34	2	4	1	238917	580517	785062
2015	F	30-34	2	2	2	129026	440925	726023
2015	F	30-34	2	2	3	129026	440925	726023
2015	F	30-34	2	2	5	129026	440925	726023
2015	F	30-34	2	2	4	129026	440925	726023
2015	F	30-34	2	2	1	238917	580517	785062
2015	F	30-34	2	3	2	129026	440925	726023
2015	F	30-34	2	3	3	129026	440925	726023
2015	F	30-34	2	3	5	129026	440925	726023
2015	F	30-34	2	3	4	129026	440925	726023
2015	F	30-34	2	3	1	238917	580517	785062
2015	F	35-39	1	1	2	133523	441074	668750
2015	F	35-39	1	1	3	133523	441074	668750
2015	F	35-39	1	1	5	133523	441074	668750
2015	F	35-39	1	1	4	133523	441074	668750
2015	F	35-39	1	1	1	240046	547588	748432
2015	F	35-39	1	4	2	133523	441074	668750
2015	F	35-39	1	4	3	133523	441074	668750
2015	F	35-39	1	4	5	133523	441074	668750
2015	F	35-39	1	4	4	133523	441074	668750
2015	F	35-39	1	4	1	240046	547588	748432
2015	F	35-39	1	2	2	133523	441074	668750
2015	F	35-39	1	2	3	133523	441074	668750
2015	F	35-39	1	2	5	133523	441074	668750
2015	F	35-39	1	2	4	133523	441074	668750
2015	F	35-39	1	2	1	240046	547588	748432
2015	F	35-39	1	3	2	133523	441074	668750
2015	F	35-39	1	3	3	133523	441074	668750
2015	F	35-39	1	3	5	133523	441074	668750
2015	F	35-39	1	3	4	133523	441074	668750
2015	F	35-39	1	3	1	240046	547588	748432
2015	F	35-39	4	1	2	133523	441074	668750
2015	F	35-39	4	1	3	133523	441074	668750
2015	F	35-39	4	1	5	133523	441074	668750
2015	F	35-39	4	1	4	133523	441074	668750
2015	F	35-39	4	1	1	240046	547588	748432
2015	F	35-39	4	4	2	133523	441074	668750
2015	F	35-39	4	4	3	133523	441074	668750
2015	F	35-39	4	4	5	133523	441074	668750
2015	F	35-39	4	4	4	133523	441074	668750
2015	F	35-39	4	4	1	240046	547588	748432
2015	F	35-39	4	2	2	133523	441074	668750
2015	F	35-39	4	2	3	133523	441074	668750
2015	F	35-39	4	2	5	133523	441074	668750
2015	F	35-39	4	2	4	133523	441074	668750
2015	F	35-39	4	2	1	240046	547588	748432
2015	F	35-39	4	3	2	133523	441074	668750
2015	F	35-39	4	3	3	133523	441074	668750
2015	F	35-39	4	3	5	133523	441074	668750
2015	F	35-39	4	3	4	133523	441074	668750
2015	F	35-39	4	3	1	240046	547588	748432
2015	F	35-39	3	1	2	133523	441074	668750
2015	F	35-39	3	1	3	133523	441074	668750
2015	F	35-39	3	1	5	133523	441074	668750
2015	F	35-39	3	1	4	133523	441074	668750
2015	F	35-39	3	1	1	240046	547588	748432
2015	F	35-39	3	4	2	133523	441074	668750
2015	F	35-39	3	4	3	133523	441074	668750
2015	F	35-39	3	4	5	133523	441074	668750
2015	F	35-39	3	4	4	133523	441074	668750
2015	F	35-39	3	4	1	240046	547588	748432
2015	F	35-39	3	2	2	133523	441074	668750
2015	F	35-39	3	2	3	133523	441074	668750
2015	F	35-39	3	2	5	133523	441074	668750
2015	F	35-39	3	2	4	133523	441074	668750
2015	F	35-39	3	2	1	240046	547588	748432
2015	F	35-39	3	3	2	133523	441074	668750
2015	F	35-39	3	3	3	133523	441074	668750
2015	F	35-39	3	3	5	133523	441074	668750
2015	F	35-39	3	3	4	133523	441074	668750
2015	F	35-39	3	3	1	240046	547588	748432
2015	F	35-39	2	1	2	133523	441074	668750
2015	F	35-39	2	1	3	133523	441074	668750
2015	F	35-39	2	1	5	133523	441074	668750
2015	F	35-39	2	1	4	133523	441074	668750
2015	F	35-39	2	1	1	240046	547588	748432
2015	F	35-39	2	4	2	133523	441074	668750
2015	F	35-39	2	4	3	133523	441074	668750
2015	F	35-39	2	4	5	133523	441074	668750
2015	F	35-39	2	4	4	133523	441074	668750
2015	F	35-39	2	4	1	240046	547588	748432
2015	F	35-39	2	2	2	133523	441074	668750
2015	F	35-39	2	2	3	133523	441074	668750
2015	F	35-39	2	2	5	133523	441074	668750
2015	F	35-39	2	2	4	133523	441074	668750
2015	F	35-39	2	2	1	240046	547588	748432
2015	F	35-39	2	3	2	133523	441074	668750
2015	F	35-39	2	3	3	133523	441074	668750
2015	F	35-39	2	3	5	133523	441074	668750
2015	F	35-39	2	3	4	133523	441074	668750
2015	F	35-39	2	3	1	240046	547588	748432
2015	F	40-44	1	1	2	228862	539087	694016
2015	F	40-44	1	1	3	228862	539087	694016
2015	F	40-44	1	1	5	228862	539087	694016
2015	F	40-44	1	1	4	228862	539087	694016
2015	F	40-44	1	1	1	348565	645103	777735
2015	F	40-44	1	4	2	228862	539087	694016
2015	F	40-44	1	4	3	228862	539087	694016
2015	F	40-44	1	4	5	228862	539087	694016
2015	F	40-44	1	4	4	228862	539087	694016
2015	F	40-44	1	4	1	348565	645103	777735
2015	F	40-44	1	2	2	228862	539087	694016
2015	F	40-44	1	2	3	228862	539087	694016
2015	F	40-44	1	2	5	228862	539087	694016
2015	F	40-44	1	2	4	228862	539087	694016
2015	F	40-44	1	2	1	348565	645103	777735
2015	F	40-44	1	3	2	228862	539087	694016
2015	F	40-44	1	3	3	228862	539087	694016
2015	F	40-44	1	3	5	228862	539087	694016
